OKRAJ,DeSUS,DS,LDS,NOVA,NSi,SNS,SLS+SKD,SMS,SDS,ZDRUŽENI ZELENI,ZLSD
1001,557,123,5327,66,1500,525,550,949,2337,161,3364
1002,375,131,3493,24,1132,291,746,567,1359,96,1242
1003,403,101,3181,26,1354,360,349,623,1617,110,2030
1004,564,65,5140,49,1234,569,673,836,2277,173,1794
1005,496,90,5140,55,1198,546,688,754,2424,138,1506
1006,418,123,4192,85,1876,416,1468,852,4468,93,1105
1007,342,16,2719,16,554,266,521,343,2714,116,1026
1008,394,60,3765,40,1470,328,1315,526,1908,87,946
1009,436,101,2771,64,2734,217,1788,422,2297,48,1002
1010,459,148,5918,70,2118,480,2173,903,2852,253,1308
1011,212,51,2246,41,635,244,2036,429,1250,57,2116
2001,734,96,3271,188,1306,374,1460,551,1853,55,1767
2002,527,30,3284,38,560,430,370,341,627,219,1920
2003,461,40,2384,36,368,340,315,246,688,153,2197
2004,618,61,3999,47,538,678,336,460,803,136,3420
2005,818,105,4195,92,769,821,957,509,1075,204,2597
2006,830,80,6065,116,626,837,975,752,1618,146,1715
2007,1160,26,1701,69,636,267,874,436,1111,79,1224
2008,596,51,3742,44,1332,345,1354,565,1495,81,1415
2009,1398,130,4413,116,1774,662,2090,850,2254,150,3045
2010,794,105,4119,90,1203,962,960,773,1874,155,5616
2011,543,371,2333,870,1555,263,1536,558,2907,79,1553
3001,395,67,4604,68,2026,433,1697,850,2793,74,1999
3002,329,46,4341,31,1305,406,672,647,2708,83,1516
3003,483,84,4318,71,1677,458,1211,680,3002,100,1087
3004,361,49,4161,42,815,362,423,492,2025,78,1189
3005,379,62,5991,69,970,493,311,505,1809,79,1408
3006,470,86,4510,56,1655,452,1006,663,2863,108,1468
3007,304,75,6799,45,1405,599,377,487,1875,140,2575
3008,431,52,5040,63,809,483,311,481,1466,129,1758
3009,476,60,5507,70,867,486,372,734,1805,150,2201
3010,433,60,5249,74,1156,558,411,652,1973,94,1546
3011,496,90,4439,77,1642,582,713,819,2842,199,1481
4001,284,56,2832,33,548,592,949,277,1513,210,2967
4002,148,48,1466,52,1097,184,817,246,2547,64,692
4003,367,71,4719,123,1445,420,1403,700,6819,163,1330
4004,305,23,3736,35,720,459,1933,436,1740,42,1049
4005,492,79,5623,71,1346,645,971,669,2422,91,1639
4006,267,79,4756,60,586,1184,258,506,1188,77,2354
4007,489,77,6153,76,1069,1187,394,610,1878,138,2050
4008,471,117,7521,78,1581,704,662,829,2706,131,2168
4009,571,79,7835,77,1098,827,455,625,2001,126,2460
4010,381,105,5198,86,1940,529,1601,616,2033,83,1233
4011,392,144,6244,81,1311,577,926,516,2072,86,1433
5001,465,29,2820,35,541,634,2280,713,1275,76,559
5002,1109,67,6534,90,984,693,2694,844,3139,129,1223
5003,1144,68,6965,51,920,938,771,869,2222,155,1972
5004,1216,39,3813,37,689,468,1152,616,1633,87,883
5005,1156,29,3675,19,817,568,1185,496,2337,99,1056
5006,448,26,2548,46,712,231,1929,454,2572,42,527
5007,664,55,5040,57,585,436,563,635,1282,112,2109
5008,785,27,4647,48,926,412,807,545,1756,111,1237
5009,857,81,4177,66,1093,812,651,420,1491,43,1460
5010,755,165,6012,63,1401,923,1154,514,1940,87,1643
5011,1247,226,3798,60,770,830,1208,465,1707,82,2108
6001,1088,260,4520,72,1265,578,4058,297,1324,78,1276
6002,924,73,5856,100,1588,583,2705,606,2575,134,1435
6003,833,96,5816,101,1660,540,1806,909,3058,163,1301
6004,1150,127,2914,62,1617,202,1168,366,1313,43,616
6005,913,120,5354,56,445,530,734,323,2562,49,895
6006,369,44,5699,52,1311,626,2542,471,2068,87,970
6007,326,23,2497,27,439,243,2579,285,2077,32,953
6008,726,63,3328,38,753,868,832,465,1541,161,1023
6009,296,19,3190,45,118,402,108,206,285,67,1205
6010,456,18,5609,36,342,1174,282,467,1049,45,1350
6011,180,22,7272,30,687,259,495,182,790,28,637
7001,1240,53,4558,87,1101,393,2253,576,2014,177,698
7002,1089,38,4571,51,800,578,2957,583,3284,80,1764
7003,507,47,4352,46,999,513,1250,738,2381,43,345
7004,763,140,3529,24,441,379,410,220,934,55,560
7005,679,49,4153,42,620,525,1935,355,1450,82,1041
7006,692,63,4715,79,700,1017,926,444,1617,112,1029
7007,665,85,3505,30,864,515,2201,372,1450,50,719
7008,708,77,4617,59,621,511,368,335,1327,70,1322
7009,796,71,4604,59,697,549,361,383,1325,131,1349
7010,616,73,4920,55,540,1028,650,444,1562,86,1406
7011,903,58,4215,41,515,539,634,382,1204,60,1189
8001,753,119,5539,115,1535,334,1207,773,1472,476,555
8002,927,59,2249,67,1418,285,2103,289,822,142,522
8003,874,18,4327,31,796,369,848,188,1598,112,595
8004,845,557,7325,116,1016,511,1579,439,1896,178,1339
8005,661,605,7778,104,1595,701,1303,529,1646,149,1465
8006,593,70,2772,118,922,385,1197,443,897,106,2321
8007,251,173,2084,65,692,309,2190,203,1107,64,621
8008,939,139,2378,57,557,712,1300,315,1099,69,629
8009,609,70,2968,72,1362,365,2183,430,3170,90,592
8010,650,62,4532,51,729,550,562,472,2510,126,1136
8011,908,63,4091,98,1524,355,1164,328,1579,89,933
