OKRAJ,DeSUS,DS,LDS,NOVA,NSi,SNS,SLS+SKD,SMS,SDS,ZDRUŽENI ZELENI,ZLSD
1001,0.0341,0.0075,0.3264,0.004,0.0919,0.0322,0.0337,0.0581,0.1432,0.0099,0.2061
1002,0.0387,0.0135,0.3607,0.0025,0.1169,0.03,0.077,0.0585,0.1403,0.0099,0.1282
1003,0.0385,0.0097,0.3041,0.0025,0.1294,0.0344,0.0334,0.0596,0.1546,0.0105,0.1941
1004,0.041,0.0047,0.374,0.0036,0.0898,0.0414,0.049,0.0608,0.1657,0.0126,0.1305
1005,0.037,0.0067,0.383,0.0041,0.0893,0.0407,0.0513,0.0562,0.1806,0.0103,0.1122
1006,0.0271,0.008,0.2723,0.0055,0.1218,0.027,0.0953,0.0553,0.2902,0.006,0.0718
1007,0.0387,0.0018,0.3076,0.0018,0.0627,0.0301,0.0589,0.0388,0.3071,0.0131,0.1161
1008,0.0355,0.0054,0.3395,0.0036,0.1326,0.0296,0.1186,0.0474,0.1721,0.0078,0.0853
1009,0.0361,0.0084,0.2293,0.0053,0.2262,0.018,0.148,0.0349,0.1901,0.004,0.0829
1010,0.0269,0.0087,0.3463,0.0041,0.1239,0.0281,0.1272,0.0528,0.1669,0.0148,0.0765
1011,0.0223,0.0054,0.2364,0.0043,0.0668,0.0257,0.2143,0.0452,0.1316,0.006,0.2227
2001,0.0626,0.0082,0.279,0.016,0.1114,0.0319,0.1245,0.047,0.1581,0.0047,0.1507
2002,0.0621,0.0035,0.3869,0.0045,0.066,0.0507,0.0436,0.0402,0.0739,0.0258,0.2262
2003,0.0608,0.0053,0.3143,0.0047,0.0485,0.0448,0.0415,0.0324,0.0907,0.0202,0.2897
2004,0.0545,0.0054,0.3528,0.0041,0.0475,0.0598,0.0296,0.0406,0.0708,0.012,0.3017
2005,0.0658,0.0084,0.3375,0.0074,0.0619,0.0661,0.077,0.041,0.0865,0.0164,0.2089
2006,0.0596,0.0057,0.4355,0.0083,0.0449,0.0601,0.07,0.054,0.1162,0.0105,0.1231
2007,0.1516,0.0034,0.2223,0.009,0.0831,0.0349,0.1142,0.057,0.1452,0.0103,0.16
2008,0.0536,0.0046,0.3367,0.004,0.1199,0.031,0.1218,0.0508,0.1345,0.0073,0.1273
2009,0.082,0.0076,0.2587,0.0068,0.104,0.0388,0.1225,0.0498,0.1321,0.0088,0.1785
2010,0.0473,0.0063,0.2455,0.0054,0.0717,0.0573,0.0572,0.0461,0.1117,0.0092,0.3347
2011,0.0428,0.0292,0.1837,0.0685,0.1225,0.0207,0.121,0.0439,0.229,0.0062,0.1223
3001,0.026,0.0044,0.3035,0.0045,0.1336,0.0285,0.1119,0.056,0.1841,0.0049,0.1318
3002,0.0269,0.0038,0.3547,0.0025,0.1066,0.0332,0.0549,0.0529,0.2213,0.0068,0.1239
3003,0.0363,0.0063,0.3246,0.0053,0.1261,0.0344,0.091,0.0511,0.2256,0.0075,0.0817
3004,0.0353,0.0048,0.4071,0.0041,0.0797,0.0354,0.0414,0.0481,0.1981,0.0076,0.1163
3005,0.031,0.0051,0.4905,0.0056,0.0794,0.0404,0.0255,0.0413,0.1481,0.0065,0.1153
3006,0.0348,0.0064,0.334,0.0041,0.1226,0.0335,0.0745,0.0491,0.212,0.008,0.1087
3007,0.0205,0.0051,0.4586,0.003,0.0948,0.0404,0.0254,0.0328,0.1265,0.0094,0.1737
3008,0.0385,0.0046,0.4496,0.0056,0.0722,0.0431,0.0277,0.0429,0.1308,0.0115,0.1568
3009,0.0368,0.0046,0.4263,0.0054,0.0671,0.0376,0.0288,0.0568,0.1397,0.0116,0.1704
3010,0.035,0.0048,0.4242,0.006,0.0934,0.0451,0.0332,0.0527,0.1594,0.0076,0.1249
3011,0.0366,0.0066,0.3276,0.0057,0.1212,0.0429,0.0526,0.0604,0.2097,0.0147,0.1093
4001,0.0273,0.0054,0.2726,0.0032,0.0528,0.057,0.0914,0.0267,0.1457,0.0202,0.2856
4002,0.0199,0.0065,0.1972,0.007,0.1476,0.0248,0.1099,0.0331,0.3427,0.0086,0.0931
4003,0.0207,0.004,0.2664,0.0069,0.0816,0.0237,0.0792,0.0395,0.385,0.0092,0.0751
4004,0.0289,0.0022,0.3544,0.0033,0.0683,0.0435,0.1834,0.0414,0.1651,0.004,0.0995
4005,0.0346,0.0056,0.3951,0.005,0.0946,0.0453,0.0682,0.047,0.1702,0.0064,0.1152
4006,0.0233,0.0069,0.415,0.0052,0.0511,0.1033,0.0225,0.0442,0.1037,0.0067,0.2054
4007,0.0342,0.0054,0.4303,0.0053,0.0748,0.083,0.0276,0.0427,0.1313,0.0097,0.1434
4008,0.0275,0.0068,0.439,0.0046,0.0923,0.0411,0.0386,0.0484,0.158,0.0076,0.1266
4009,0.035,0.0048,0.4809,0.0047,0.0674,0.0508,0.0279,0.0384,0.1228,0.0077,0.151
4010,0.0272,0.0075,0.3709,0.0061,0.1384,0.0377,0.1142,0.044,0.1451,0.0059,0.088
4011,0.0282,0.0104,0.449,0.0058,0.0943,0.0415,0.0666,0.0371,0.149,0.0062,0.103
5001,0.049,0.0031,0.2974,0.0037,0.0571,0.0669,0.2405,0.0752,0.1345,0.008,0.059
5002,0.0629,0.0038,0.3706,0.0051,0.0558,0.0393,0.1528,0.0479,0.178,0.0073,0.0694
5003,0.0707,0.0042,0.4304,0.0032,0.0569,0.058,0.0476,0.0537,0.1373,0.0096,0.1219
5004,0.1137,0.0036,0.3564,0.0035,0.0644,0.0437,0.1077,0.0576,0.1526,0.0081,0.0825
5005,0.1005,0.0025,0.3196,0.0017,0.0711,0.0494,0.1031,0.0431,0.2033,0.0086,0.0919
5006,0.0468,0.0027,0.2662,0.0048,0.0744,0.0241,0.2015,0.0474,0.2687,0.0044,0.0551
5007,0.0573,0.0047,0.4349,0.0049,0.0505,0.0376,0.0486,0.0548,0.1106,0.0097,0.182
5008,0.0687,0.0024,0.4069,0.0042,0.0811,0.0361,0.0707,0.0477,0.1538,0.0097,0.1083
5009,0.0763,0.0072,0.372,0.0059,0.0973,0.0723,0.058,0.0374,0.1328,0.0038,0.13
5010,0.0509,0.0111,0.4055,0.0042,0.0945,0.0623,0.0778,0.0347,0.1309,0.0059,0.1108
5011,0.0972,0.0176,0.2961,0.0047,0.06,0.0647,0.0942,0.0362,0.1331,0.0064,0.1643
6001,0.0731,0.0175,0.3038,0.0048,0.085,0.0389,0.2728,0.02,0.089,0.0052,0.0858
6002,0.0555,0.0044,0.3518,0.006,0.0954,0.035,0.1625,0.0364,0.1547,0.008,0.0862
6003,0.0508,0.0059,0.355,0.0062,0.1013,0.033,0.1102,0.0555,0.1867,0.0099,0.0794
6004,0.1199,0.0132,0.3037,0.0065,0.1685,0.0211,0.1217,0.0381,0.1368,0.0045,0.0642
6005,0.0749,0.0099,0.4395,0.0046,0.0365,0.0435,0.0603,0.0265,0.2103,0.004,0.0735
6006,0.0257,0.0031,0.3976,0.0036,0.0915,0.0437,0.1774,0.0329,0.1443,0.0061,0.0677
6007,0.0343,0.0024,0.2625,0.0028,0.0461,0.0255,0.2711,0.03,0.2183,0.0034,0.1002
6008,0.0737,0.0064,0.3379,0.0039,0.0764,0.0881,0.0845,0.0472,0.1564,0.0163,0.1039
6009,0.0491,0.0031,0.5288,0.0075,0.0196,0.0666,0.0179,0.0342,0.0472,0.0111,0.1998
6010,0.0416,0.0016,0.5114,0.0033,0.0312,0.107,0.0257,0.0426,0.0956,0.0041,0.1231
6011,0.0169,0.0021,0.6835,0.0028,0.0646,0.0243,0.0465,0.0171,0.0742,0.0026,0.0599
7001,0.0901,0.0038,0.331,0.0063,0.08,0.0285,0.1636,0.0418,0.1463,0.0129,0.0507
7002,0.0673,0.0023,0.2826,0.0032,0.0495,0.0357,0.1828,0.036,0.203,0.0049,0.1091
7003,0.0443,0.0041,0.3804,0.004,0.0873,0.0448,0.1093,0.0645,0.2081,0.0038,0.0302
7004,0.0981,0.018,0.4537,0.0031,0.0567,0.0487,0.0527,0.0283,0.1201,0.0071,0.072
7005,0.0607,0.0044,0.3712,0.0038,0.0554,0.0469,0.1729,0.0317,0.1296,0.0073,0.093
7006,0.0591,0.0054,0.4029,0.0068,0.0598,0.0869,0.0791,0.0379,0.1382,0.0096,0.0879
7007,0.0616,0.0079,0.3246,0.0028,0.08,0.0477,0.2038,0.0344,0.1343,0.0046,0.0666
7008,0.0681,0.0074,0.4443,0.0057,0.0598,0.0492,0.0354,0.0322,0.1277,0.0067,0.1272
7009,0.0742,0.0066,0.4292,0.0055,0.065,0.0512,0.0337,0.0357,0.1235,0.0122,0.1257
7010,0.0525,0.0062,0.4195,0.0047,0.046,0.0877,0.0554,0.0379,0.1332,0.0073,0.1199
7011,0.0895,0.0057,0.4177,0.0041,0.051,0.0534,0.0628,0.0379,0.1193,0.0059,0.1178
8001,0.0585,0.0092,0.4301,0.0089,0.1192,0.0259,0.0937,0.06,0.1143,0.037,0.0431
8002,0.1027,0.0065,0.2491,0.0074,0.157,0.0316,0.2329,0.032,0.091,0.0157,0.0578
8003,0.0888,0.0018,0.4398,0.0032,0.0809,0.0375,0.0862,0.0191,0.1624,0.0114,0.0605
8004,0.0529,0.0349,0.4586,0.0073,0.0636,0.032,0.0989,0.0275,0.1187,0.0111,0.0838
8005,0.0396,0.0363,0.4665,0.0062,0.0957,0.042,0.0781,0.0317,0.0987,0.0089,0.0879
8006,0.0595,0.007,0.278,0.0118,0.0925,0.0386,0.1201,0.0444,0.09,0.0106,0.2328
8007,0.032,0.022,0.2656,0.0083,0.0882,0.0394,0.2791,0.0259,0.1411,0.0082,0.0791
8008,0.1127,0.0167,0.2853,0.0068,0.0668,0.0854,0.156,0.0378,0.1319,0.0083,0.0755
