OKRAJ,LDS in DeSUS,N.Si,SEG,SMS in ZELENI,SDS,NSD,SSN,SJN,DS,GŽS,SNS,ZLSD,SLS
1001,1343,1321,35,128,1188,20,20,225,17,96,309,1079,283
1002,783,1125,29,82,640,18,13,182,13,58,162,634,254
1003,988,1125,18,174,764,17,11,246,13,88,189,619,160
1004,1350,1512,29,94,1045,22,12,206,14,73,196,892,175
1005,1358,1407,23,94,1019,31,16,176,11,81,210,741,199
1006,1232,2526,34,130,1428,33,20,207,24,101,255,598,695
1007,740,972,17,66,665,17,11,130,5,45,134,381,165
1008,1055,1595,36,108,1012,18,10,183,6,58,140,528,252
1009,900,2221,18,67,1234,19,11,138,7,68,142,475,660
1010,1424,2265,30,114,1368,25,15,235,11,88,257,733,430
1011,631,990,20,66,632,33,9,186,14,44,176,612,773
2001,1032,1648,43,140,1075,58,20,186,11,92,224,795,586
2002,816,395,26,93,357,18,9,319,10,44,129,930,102
2003,625,267,28,57,359,13,13,195,14,50,99,895,104
2004,974,429,38,77,380,14,15,1131,10,58,158,1458,115
2005,1141,761,46,103,640,38,14,1011,23,78,301,1290,207
2006,1591,853,47,163,889,58,16,337,16,91,407,1089,478
2007,546,542,30,75,679,47,16,153,21,41,252,512,313
2008,834,966,29,100,982,38,9,181,11,49,191,739,422
2009,1049,1819,48,139,1132,104,9,222,22,78,305,1481,501
2010,1156,1407,36,202,912,59,18,306,16,94,289,1997,272
2011,718,2248,21,83,1059,210,12,176,77,54,178,671,318
3001,1190,2317,46,102,1318,27,15,269,17,72,210,775,710
3002,993,1528,43,102,1112,12,11,261,8,56,157,671,267
3003,984,1681,28,69,1216,18,14,199,7,56,175,584,527
3004,890,1039,21,109,846,11,28,258,2,34,145,609,144
3005,1237,1090,29,111,948,8,33,297,4,43,156,948,138
3006,956,1935,34,119,1244,19,12,262,5,42,213,730,382
3007,1437,1258,53,159,1012,37,42,328,10,54,191,1408,164
3008,1235,816,26,137,727,14,18,274,14,42,152,1074,106
3009,1304,977,46,121,817,9,17,301,15,51,190,1204,130
3010,1115,1243,32,114,998,16,18,292,13,48,165,846,127
3011,1197,1898,38,122,1182,24,23,293,11,83,224,774,258
4001,996,588,19,68,578,19,16,61,11,46,243,932,473
4002,388,1132,15,22,714,10,12,58,5,33,126,357,1212
4003,1125,2288,30,105,2181,38,30,182,11,79,224,636,712
4004,880,956,23,102,717,7,15,108,3,38,205,451,616
4005,1200,1552,27,138,1180,18,28,232,10,69,259,760,298
4006,815,688,27,109,465,20,17,238,5,33,185,663,81
4007,1373,1168,38,126,916,14,37,257,4,44,215,1080,169
4008,1500,1771,39,166,1257,32,22,384,16,53,227,1219,290
4009,1669,1225,57,143,1052,21,18,397,8,65,267,1402,144
4010,1065,2111,21,104,1020,16,20,208,18,78,255,572,416
4011,1265,1789,32,119,955,23,18,311,21,41,256,790,206
5001,668,688,19,121,591,10,10,86,12,49,190,321,640
5002,1526,1361,32,153,1337,29,20,180,23,69,387,674,756
5003,1566,983,28,102,1043,16,6,215,11,61,256,997,668
5004,1176,855,18,97,861,15,16,167,13,51,303,507,335
5005,1204,1016,26,80,983,19,10,142,17,60,296,501,548
5006,863,1118,28,99,858,8,8,120,12,60,255,345,675
5007,1015,731,20,110,699,9,30,129,8,61,198,811,217
5008,962,988,24,107,957,16,46,126,16,58,261,605,311
5009,881,809,27,89,651,11,20,160,8,50,249,607,223
5010,1289,1300,33,112,1244,20,16,194,36,81,385,912,318
5011,977,751,22,120,810,16,14,125,59,66,395,567,495
6001,1681,1291,37,125,807,22,11,68,45,73,353,860,768
6002,1851,1752,42,122,1218,19,20,181,15,84,383,712,574
6003,1748,1905,34,100,1115,10,8,156,15,55,289,671,514
6004,710,1712,17,52,483,26,6,69,8,27,144,315,384
6005,1297,788,13,105,1013,16,15,200,10,58,267,506,364
6006,1241,1285,25,96,931,18,11,231,16,52,328,578,675
6007,814,926,16,41,701,11,14,111,14,48,194,342,447
6008,882,859,29,102,685,21,15,94,8,46,223,577,416
6009,926,161,14,55,205,76,7,50,7,28,186,382,96
6010,1267,538,26,84,515,22,11,161,12,41,576,713,136
6011,1323,728,12,92,513,16,8,93,6,44,209,467,329
7001,1013,841,29,112,865,17,18,117,17,63,266,455,1659
7002,1342,1325,44,289,1412,11,16,213,12,101,449,712,731
7003,893,916,55,119,1045,14,12,114,7,57,286,408,620
7004,653,469,15,69,558,11,10,142,14,43,253,367,232
7005,1006,748,18,115,809,6,11,181,15,56,330,726,340
7006,939,897,31,96,879,12,16,174,8,65,370,482,332
7007,703,820,24,74,735,8,12,127,13,51,300,342,411
7008,1017,831,31,102,683,13,7,211,8,65,238,834,112
7009,1072,713,34,104,682,13,11,165,13,65,297,706,143
7010,1052,722,26,147,804,10,16,250,8,49,356,780,151
7011,953,629,27,89,656,6,15,167,9,66,328,628,122
8001,1120,1018,33,311,613,19,17,64,9,58,207,359,519
8002,935,1099,19,121,461,7,14,78,18,59,250,292,553
8003,1037,863,23,107,485,8,8,99,17,40,215,310,554
8004,1918,1077,44,200,1009,24,35,139,25,85,462,649,1226
8005,1730,1522,36,176,913,24,6,136,14,79,338,804,817
8006,826,1025,22,125,409,13,17,102,10,50,200,646,482
8007,585,709,19,56,532,14,8,68,15,40,194,157,542
8008,665,721,27,92,657,13,7,94,12,43,243,323,304
8009,867,1197,26,136,830,10,16,127,13,74,306,216,814
8010,1140,850,12,153,818,9,6,177,7,54,230,524,234
8011,849,1015,16,181,724,8,12,106,13,54,268,225,780
