OKRAJ,LDS in DeSUS,N.Si,SEG,SMS in ZELENI,SDS,NSD,SSN,SJN,DS,GŽS,SNS,ZLSD,SLS
1001,0.2215,0.2178,0.0058,0.0211,0.1959,0.0033,0.0033,0.0371,0.0028,0.0158,0.051,0.1779,0.0467
1002,0.1961,0.2817,0.0073,0.0205,0.1603,0.0045,0.0033,0.0456,0.0033,0.0145,0.0406,0.1588,0.0636
1003,0.2239,0.255,0.0041,0.0394,0.1732,0.0039,0.0025,0.0558,0.0029,0.0199,0.0428,0.1403,0.0363
1004,0.2402,0.269,0.0052,0.0167,0.1859,0.0039,0.0021,0.0367,0.0025,0.013,0.0349,0.1587,0.0311
1005,0.2531,0.2622,0.0043,0.0175,0.1899,0.0058,0.003,0.0328,0.002,0.0151,0.0391,0.1381,0.0371
1006,0.1692,0.3468,0.0047,0.0178,0.1961,0.0045,0.0027,0.0284,0.0033,0.0139,0.035,0.0821,0.0954
1007,0.221,0.2903,0.0051,0.0197,0.1986,0.0051,0.0033,0.0388,0.0015,0.0134,0.04,0.1138,0.0493
1008,0.211,0.3189,0.0072,0.0216,0.2024,0.0036,0.002,0.0366,0.0012,0.0116,0.028,0.1056,0.0504
1009,0.151,0.3727,0.003,0.0112,0.207,0.0032,0.0018,0.0232,0.0012,0.0114,0.0238,0.0797,0.1107
1010,0.2036,0.3238,0.0043,0.0163,0.1956,0.0036,0.0021,0.0336,0.0016,0.0126,0.0367,0.1048,0.0615
1011,0.1507,0.2365,0.0048,0.0158,0.151,0.0079,0.0022,0.0444,0.0033,0.0105,0.042,0.1462,0.1847
2001,0.1746,0.2788,0.0073,0.0237,0.1819,0.0098,0.0034,0.0315,0.0019,0.0156,0.0379,0.1345,0.0992
2002,0.2512,0.1216,0.008,0.0286,0.1099,0.0055,0.0028,0.0982,0.0031,0.0135,0.0397,0.2863,0.0314
2003,0.2299,0.0982,0.0103,0.021,0.132,0.0048,0.0048,0.0717,0.0051,0.0184,0.0364,0.3292,0.0382
2004,0.2005,0.0883,0.0078,0.0159,0.0782,0.0029,0.0031,0.2329,0.0021,0.0119,0.0325,0.3002,0.0237
2005,0.2018,0.1346,0.0081,0.0182,0.1132,0.0067,0.0025,0.1788,0.0041,0.0138,0.0532,0.2282,0.0366
2006,0.2636,0.1413,0.0078,0.027,0.1473,0.0096,0.0027,0.0558,0.0027,0.0151,0.0674,0.1804,0.0792
2007,0.1692,0.168,0.0093,0.0232,0.2104,0.0146,0.005,0.0474,0.0065,0.0127,0.0781,0.1587,0.097
2008,0.1833,0.2123,0.0064,0.022,0.2158,0.0083,0.002,0.0398,0.0024,0.0108,0.042,0.1624,0.0927
2009,0.1518,0.2633,0.0069,0.0201,0.1638,0.0151,0.0013,0.0321,0.0032,0.0113,0.0441,0.2144,0.0725
2010,0.1709,0.208,0.0053,0.0299,0.1348,0.0087,0.0027,0.0452,0.0024,0.0139,0.0427,0.2952,0.0402
2011,0.1233,0.3859,0.0036,0.0142,0.1818,0.0361,0.0021,0.0302,0.0132,0.0093,0.0306,0.1152,0.0546
3001,0.1684,0.3278,0.0065,0.0144,0.1865,0.0038,0.0021,0.0381,0.0024,0.0102,0.0297,0.1096,0.1005
3002,0.1902,0.2927,0.0082,0.0195,0.213,0.0023,0.0021,0.05,0.0015,0.0107,0.0301,0.1285,0.0511
3003,0.177,0.3024,0.005,0.0124,0.2188,0.0032,0.0025,0.0358,0.0013,0.0101,0.0315,0.1051,0.0948
3004,0.2152,0.2512,0.0051,0.0264,0.2045,0.0027,0.0068,0.0624,0.0005,0.0082,0.0351,0.1472,0.0348
3005,0.2453,0.2162,0.0058,0.022,0.188,0.0016,0.0065,0.0589,0.0008,0.0085,0.0309,0.188,0.0274
3006,0.1606,0.325,0.0057,0.02,0.209,0.0032,0.002,0.044,0.0008,0.0071,0.0358,0.1226,0.0642
3007,0.2335,0.2045,0.0086,0.0258,0.1645,0.006,0.0068,0.0533,0.0016,0.0088,0.031,0.2288,0.0267
3008,0.2665,0.1761,0.0056,0.0296,0.1569,0.003,0.0039,0.0591,0.003,0.0091,0.0328,0.2317,0.0229
