OKRAJ,AS,DeSUS,DSS,"GŽZ, ZZP, ZNS, NDS",JL,LDS,NPS,NSi,SEG,SJN,SDS,SNS,SLS,SMS,LS,SSN,ZAPS,ZLSD,ZDRUŽENI,ZELENI,MARKO BRECELJ,MIHAEL SVANJAK,ŠTEFAN HUDOBIVNIK
1001,332,374,64,111,157,3473,59,1088,70,128,3763,692,432,287,4,28,55,2188,25,105,0,0,0
1002,869,215,22,36,82,1992,26,818,59,113,2399,488,384,149,10,17,151,847,4,198,0,0,0
1003,274,232,22,81,126,2354,7,1090,55,296,2787,527,213,175,8,14,113,988,5,70,0,0,0
1004,533,281,27,55,114,3302,15,1125,45,149,3588,743,354,171,47,17,43,1388,5,76,0,0,0
1005,538,284,36,81,139,3162,17,1009,64,181,3717,734,469,165,55,14,48,1279,16,71,0,0,0
1006,511,321,18,63,152,2337,17,1454,61,211,5219,635,2222,214,9,22,45,1086,7,66,0,0,0
1007,196,159,0,23,65,2158,23,673,49,92,3079,294,283,92,5,13,8,545,19,31,0,0,0
1008,298,244,0,87,132,2607,7,1590,63,171,3669,419,1118,161,10,13,107,849,18,63,0,0,0
1009,264,191,15,34,27,1450,11,1191,22,85,3526,267,1808,87,5,8,77,706,4,34,0,0,0
1010,582,736,41,34,189,3705,25,1489,55,199,5053,670,1230,256,11,29,164,1321,34,156,0,0,0
1011,197,128,0,56,58,1100,25,750,26,269,2117,311,1506,134,5,10,74,1816,1,20,0,0,0
2001,204,1079,31,106,103,1635,0,1117,41,102,3777,396,786,514,0,31,37,675,1,67,23,3,0
2002,129,427,27,117,95,2087,0,458,34,475,1409,362,116,156,0,29,23,1239,19,107,43,13,0
2003,142,388,19,72,107,1598,0,175,24,278,1207,304,182,71,0,16,12,1758,12,36,26,21,0
2004,226,586,31,50,73,2109,0,358,30,2218,1339,463,148,90,0,22,40,1901,11,72,103,60,0
2005,207,636,0,79,106,2122,0,728,33,2347,2052,727,295,135,0,53,68,1550,32,112,81,55,0
2006,338,503,35,255,150,3170,0,793,31,196,2595,870,532,186,0,61,41,1816,19,98,53,15,0
2007,426,455,15,87,33,1120,0,358,27,374,2064,393,675,111,0,28,14,551,8,82,26,4,0
2008,199,333,0,94,71,2183,0,807,48,260,2901,638,985,146,0,28,14,943,5,120,28,3,0
2009,256,526,0,157,124,2951,0,1465,52,831,4177,737,731,291,0,203,38,1859,19,77,60,5,0
2010,320,585,52,202,192,2761,0,1151,71,1129,3198,818,481,272,0,197,76,2725,24,100,59,9,0
2011,231,307,77,245,78,1722,0,2382,31,281,3735,438,863,134,0,50,116,1105,220,45,21,3,0
3001,365,316,28,55,75,2902,28,2001,45,318,4409,614,863,296,22,26,373,1284,43,88,0,0,0
3002,378,353,11,71,78,2576,27,1003,105,131,4381,550,357,174,25,9,159,994,15,54,0,0,0
3003,378,407,31,27,105,2506,19,1830,52,926,4139,633,695,166,18,38,27,882,15,52,0,0,0
3004,325,259,0,33,181,2569,19,827,46,108,2970,464,229,134,14,21,36,999,19,76,0,0,0
3005,301,382,24,46,148,3172,19,813,80,170,2947,564,223,140,22,12,19,1338,13,105,0,0,0
3006,437,285,24,51,122,2683,18,1888,71,144,4442,566,600,157,12,13,56,1099,29,77,0,0,0
3007,391,304,38,59,185,3771,17,1178,78,136,3067,589,209,159,15,18,37,2274,30,190,0,0,0
3008,219,242,44,33,218,3099,18,661,55,198,2257,482,132,254,18,20,21,1442,15,60,0,0,0
3009,371,396,30,54,184,3644,15,863,67,149,2787,532,195,184,18,10,54,1898,15,94,0,0,0
3010,295,260,24,23,125,3028,14,979,61,155,3153,584,178,192,17,16,52,1511,21,75,0,0,0
3011,448,345,27,125,116,3034,26,1481,52,212,4393,728,399,180,26,13,83,1074,42,109,0,0,0
4001,187,212,0,8,56,1841,13,363,9,54,1700,472,350,111,26,29,78,2327,7,117,0,0,0
4002,154,89,0,7,24,893,11,1499,21,33,2664,247,433,59,13,11,333,681,13,23,0,0,0
4003,624,186,58,119,99,3265,28,1581,77,117,8522,683,905,202,26,21,33,842,10,60,0,0,0
4004,272,275,0,25,53,1877,9,518,37,52,2821,626,1957,238,14,21,209,686,7,39,0,0,0
4005,458,333,60,43,112,3320,24,1282,68,168,4209,714,542,221,32,34,87,1277,14,82,0,0,0
4006,310,271,39,31,144,2883,13,570,56,329,2091,594,150,242,18,26,51,1347,10,83,0,0,0
4007,336,350,64,43,126,4225,40,943,54,200,3165,700,172,173,20,24,45,1470,18,92,0,0,0
4008,510,410,48,49,199,4320,19,1366,69,225,4706,800,282,226,23,17,44,1868,12,97,0,0,0
4009,427,389,71,71,171,4926,22,952,98,240,3161,771,181,206,18,27,32,1906,19,105,0,0,0
4010,449,295,71,50,93,3036,15,2001,25,373,4272,762,668,219,25,35,57,998,14,133,0,0,0
4011,395,331,58,44,126,3402,19,1591,54,250,3754,765,413,175,22,42,44,1280,13,152,0,0,0
5001,207,373,22,16,69,1283,18,881,27,106,2473,508,1079,886,0,22,70,492,15,30,0,0,0
5002,387,835,52,52,150,3519,56,1208,60,363,4920,1136,930,372,0,42,80,1128,43,120,0,0,0
5003,314,648,34,56,189,3493,57,691,69,561,3522,768,561,229,0,22,66,1858,35,124,0,0,0
5004,281,688,39,49,82,2665,20,645,54,87,3241,888,419,230,0,36,77,629,14,42,0,0,0
5005,420,622,27,40,89,2377,28,967,42,220,3662,914,563,184,0,26,61,621,14,68,0,0,0
5006,258,445,34,9,51,1287,25,663,28,96,3163,453,1584,145,0,19,35,333,12,42,0,0,0
5007,272,559,35,37,101,2416,20,652,27,75,2606,653,282,239,0,54,35,1938,8,46,0,0,0
5008,196,544,45,65,108,2304,44,1152,32,91,3020,755,438,245,0,90,39,1204,23,60,0,0,0
5009,159,365,29,120,132,2040,13,877,25,122,2854,1826,974,375,0,43,9,834,6,44,0,0,0
5010,184,351,73,62,91,3295,23,783,48,59,6138,1068,582,210,0,34,13,1266,16,49,0,0,0
5011,180,686,77,96,104,1669,26,551,33,40,3878,1857,497,209,0,26,55,2200,11,50,0,0,0
6001,363,995,0,28,57,2427,0,1132,56,624,1910,514,2794,280,0,19,55,1119,15,0,0,0,18
6002,1396,462,39,49,116,2541,0,1993,35,127,3982,556,1893,100,0,18,33,650,9,46,0,0,33
6003,1934,433,29,36,264,4816,0,1443,58,213,3839,645,692,112,0,26,34,938,10,79,0,0,22
6004,527,1193,12,56,51,1290,0,1397,12,572,2243,290,586,138,0,19,12,459,7,30,0,0,7
6005,290,390,31,14,62,2696,0,370,20,210,4572,621,279,298,0,27,40,576,3,45,0,0,12
6006,538,481,28,37,107,2671,0,1231,34,372,3580,744,1600,162,0,30,47,888,11,56,0,0,13
6007,251,371,15,18,31,1395,0,494,21,88,2519,350,2403,50,0,15,11,586,5,29,0,0,5
6008,257,582,25,37,66,1517,0,831,27,118,2110,536,870,203,0,24,29,1276,4,59,0,0,17
6009,173,197,10,12,57,2280,0,138,14,11,860,452,103,49,0,6,15,648,42,32,0,0,7
6010,286,256,9,18,44,2375,0,381,24,77,1548,2709,263,136,0,14,28,952,6,86,0,0,8
6011,155,142,19,18,41,4507,0,603,25,44,1597,407,325,132,0,12,21,761,4,35,0,0,3
7001,302,1180,14,26,101,1946,0,1746,30,461,3293,926,976,364,15,36,35,1276,11,64,0,0,0
7002,324,622,28,48,70,2264,0,824,67,233,5900,937,1992,539,7,23,37,1150,18,60,0,0,0
7003,539,273,16,28,55,2442,0,879,140,161,3815,684,704,149,8,19,79,895,9,36,0,0,0
7004,81,1001,15,35,27,1736,0,379,31,299,2089,647,208,184,9,18,35,564,10,31,0,0,0
7005,164,507,26,64,64,2065,0,544,53,564,2817,872,1131,194,14,21,81,935,4,77,0,0,0
7006,237,526,30,76,54,2123,0,663,45,414,3736,1569,591,213,5,16,59,818,8,67,0,0,0
7007,129,331,26,54,60,1498,0,644,43,309,2602,818,2546,156,7,26,75,586,11,99,0,0,0
7008,203,489,29,83,93,2316,0,580,39,223,2278,788,181,125,9,15,53,1130,7,113,0,0,0
7009,136,730,25,57,91,2186,0,549,53,412,2362,935,205,140,9,24,81,1152,9,82,0,0,0
7010,175,502,33,88,109,2412,0,553,57,708,2739,1431,203,201,7,17,44,1073,12,108,0,0,0
7011,133,649,32,85,68,2057,0,467,43,317,2359,963,283,173,10,25,19,885,6,77,0,0,0
8001,184,445,46,23,41,2489,0,1605,30,34,2865,422,892,946,0,24,36,1122,11,96,0,0,0
8002,71,374,36,42,50,2070,0,2541,12,74,1319,395,496,310,0,25,104,315,9,38,0,0,0
8003,331,732,29,68,28,1550,0,899,18,280,1544,465,881,305,0,14,40,802,1,100,0,0,0
8004,352,579,45,36,188,3414,0,967,58,298,3627,748,1257,425,0,37,82,833,51,81,0,0,0
8005,274,491,50,56,136,4840,0,1631,87,108,3340,806,1571,355,0,21,115,1522,33,73,0,0,0
8006,109,364,45,99,79,2278,0,797,31,101,2225,533,706,414,0,86,22,1161,35,73,0,0,0
8007,150,277,38,12,30,1165,0,713,11,138,2041,463,1516,564,0,34,54,403,7,41,0,0,0
8008,91,707,46,40,21,1147,0,740,36,350,2613,558,786,435,0,16,16,450,3,57,0,0,0
8009,172,295,25,35,54,1476,0,1215,22,75,5115,644,1269,320,0,35,88,373,8,102,0,0,0
8010,187,408,23,28,84,2337,0,516,29,107,3991,617,777,268,0,9,76,788,9,187,0,0,0
8011,93,370,47,29,55,2104,0,1279,14,328,3422,513,1198,305,0,23,45,326,9,100,0,0,0
