OKRAJ,Akacije,DeSUS,KDS,LDS,Lipa,LZ�PV,LPR,NPS,NSi,SDS,SLS+SMS,SNS,SD,SSN,ZARES,ZP,Zeleni
1001,0,972,60,812,268,77,59,42,410,3672,271,724,6076,37,1432,25,65
1002,0,825,48,527,126,41,192,12,337,2662,155,475,2571,15,742,39,65
1003,0,729,42,1016,151,88,26,0,396,3052,146,602,2762,29,1045,26,94
1004,0,878,41,504,215,82,94,13,464,3533,245,526,4817,15,1566,25,78
1005,0,937,34,619,217,72,76,16,396,3730,319,609,4478,38,1452,29,66
1006,0,952,55,428,188,110,35,16,585,6182,1429,857,3278,38,1147,32,84
1007,0,502,28,1471,98,38,22,18,203,2570,101,340,2038,13,546,24,35
1008,0,764,108,497,174,64,99,13,809,4252,473,475,3367,24,1366,23,49
1009,0,385,61,224,100,45,18,4,605,4184,1679,426,1964,16,476,18,42
1010,0,1574,54,921,265,133,23,0,1452,5266,420,966,5273,24,1581,46,80
1011,0,375,27,328,127,46,21,0,273,2960,846,405,2976,24,358,16,35
2001,13,977,77,268,93,15,12,0,495,4164,985,425,2601,48,602,11,57
2002,14,585,25,408,152,60,30,0,143,1526,108,250,3757,17,903,6,56
2003,11,526,19,288,151,30,47,0,57,1409,70,264,3379,15,1061,21,58
2004,67,812,31,554,201,43,48,0,180,1853,131,288,4847,10,1265,25,89
2005,36,710,54,585,239,61,37,0,279,2997,306,907,4984,28,1538,61,95
2006,19,1020,53,848,241,41,113,0,192,2952,229,1268,4929,26,940,49,98
2007,7,563,93,142,57,23,14,0,141,2243,479,550,2147,14,611,39,17
2008,17,794,32,364,183,31,25,0,238,3417,623,387,3595,17,905,59,53
2009,23,1139,76,703,249,25,42,0,562,5110,367,701,6314,25,695,13,64
2010,35,765,91,507,177,43,92,0,334,3652,166,604,8379,35,1195,33,55
2011,7,618,96,304,521,48,17,0,836,5261,255,433,3290,18,950,19,51
3001,0,644,271,479,206,84,27,17,1128,5082,664,767,5159,32,1158,20,68
3002,0,853,49,552,179,73,57,9,422,3957,338,637,4544,21,1270,19,77
3003,0,763,44,681,211,76,30,12,740,4937,788,840,4433,40,1311,17,69
3004,0,542,56,459,191,47,19,17,278,2986,110,374,4244,24,1230,35,55
3005,0,598,28,622,191,69,16,5,273,2628,122,333,4909,7,1475,54,58
3006,0,630,40,514,242,93,29,15,1104,4652,196,532,4664,24,1277,27,66
3007,0,544,46,682,178,89,16,21,637,2899,170,322,6892,33,1535,32,87
3008,0,509,34,904,242,38,20,9,230,1938,77,284,4634,26,1198,21,55
3009,0,634,31,613,199,58,16,14,303,2536,82,291,5700,10,1707,26,60
3010,0,559,45,535,241,69,19,10,370,3012,96,404,5203,21,1393,35,62
3011,0,733,175,563,272,78,28,27,520,4235,600,629,4839,33,1529,40,79
4001,0,388,18,440,74,22,7,13,156,1571,582,442,4197,42,1012,6,32
4002,0,426,104,165,87,24,16,0,312,3579,223,369,1376,19,671,20,20
4003,0,717,78,991,226,83,62,24,653,10139,535,865,3990,70,1297,42,77
4004,0,748,39,333,142,53,14,17,233,3398,837,710,2519,33,1510,15,37
4005,0,921,82,698,309,73,64,19,432,4234,398,670,5175,37,1572,24,60
4006,0,658,30,618,566,58,35,13,205,1695,103,325,5095,26,1170,14,47
4007,0,769,53,724,458,60,29,22,367,2887,152,386,5741,42,1557,33,60
4008,0,1011,50,629,318,73,46,20,527,4351,185,498,6338,28,2611,36,69
4009,0,784,38,706,321,92,38,23,418,2948,111,398,6345,57,2608,29,58
4010,0,751,85,789,287,57,47,19,894,4712,684,827,4379,44,1433,52,78
4011,0,789,51,640,274,64,38,15,589,3887,268,701,4740,35,2157,56,77
5001,0,699,30,293,85,26,50,0,347,3771,1248,581,1554,20,607,21,39
5002,0,1581,84,658,299,50,92,0,303,5356,2129,1043,3869,40,1508,47,94
5003,0,1230,48,531,194,51,41,0,141,3161,2259,618,4535,39,1507,23,107
5004,0,1746,23,490,136,34,21,0,235,3471,295,698,2373,32,1442,12,65
5005,0,1191,64,595,157,51,30,0,631,3870,505,694,2894,51,1060,12,49
5006,0,854,23,280,140,31,34,0,311,2970,1668,598,1463,24,551,5,54
5007,0,861,23,317,131,30,34,0,189,2714,169,517,4123,40,1838,0,33
5008,0,973,32,388,119,30,41,0,421,4037,240,723,3214,47,919,0,39
5009,0,2233,25,326,243,22,66,0,262,2876,531,1019,3406,22,706,0,36
