OKRAJ,Akacije,DeSUS,KDS,LDS,Lipa,LZ�PV,LPR,NPS,NSi,SDS,SLS+SMS,SNS,SD,SSN,ZARES,ZP,Zeleni
1001,0.0,0.0648,0.004,0.0541,0.0179,0.0051,0.0039,0.0028,0.0273,0.2448,0.0181,0.0483,0.405,0.0025,0.0955,0.0017,0.0043
1002,0.0,0.0934,0.0054,0.0597,0.0143,0.0046,0.0217,0.0014,0.0382,0.3014,0.0175,0.0538,0.2911,0.0017,0.084,0.0044,0.0074
1003,0.0,0.0714,0.0041,0.0996,0.0148,0.0086,0.0025,0.0,0.0388,0.2991,0.0143,0.059,0.2707,0.0028,0.1024,0.0025,0.0092
1004,0.0,0.067,0.0031,0.0385,0.0164,0.0063,0.0072,0.001,0.0354,0.2698,0.0187,0.0402,0.3678,0.0011,0.1196,0.0019,0.006
1005,0.0,0.0716,0.0026,0.0473,0.0166,0.0055,0.0058,0.0012,0.0303,0.285,0.0244,0.0465,0.3421,0.0029,0.1109,0.0022,0.005
1006,0.0,0.0618,0.0036,0.0278,0.0122,0.0071,0.0023,0.001,0.0379,0.401,0.0927,0.0556,0.2126,0.0025,0.0744,0.0021,0.0054
1007,0.0,0.0624,0.0035,0.1828,0.0122,0.0047,0.0027,0.0022,0.0252,0.3194,0.0126,0.0423,0.2533,0.0016,0.0679,0.003,0.0043
1008,0.0,0.0608,0.0086,0.0396,0.0139,0.0051,0.0079,0.001,0.0644,0.3386,0.0377,0.0378,0.2681,0.0019,0.1088,0.0018,0.0039
1009,0.0,0.0376,0.006,0.0219,0.0098,0.0044,0.0018,0.0004,0.059,0.4083,0.1639,0.0416,0.1917,0.0016,0.0465,0.0018,0.0041
1010,0.0,0.0871,0.003,0.0509,0.0147,0.0074,0.0013,0.0,0.0803,0.2913,0.0232,0.0534,0.2917,0.0013,0.0875,0.0025,0.0044
1011,0.0,0.0425,0.0031,0.0372,0.0144,0.0052,0.0024,0.0,0.031,0.3357,0.096,0.0459,0.3375,0.0027,0.0406,0.0018,0.004
2001,0.0012,0.0901,0.0071,0.0247,0.0086,0.0014,0.0011,0.0,0.0457,0.384,0.0908,0.0392,0.2399,0.0044,0.0555,0.001,0.0053
