OKRAJ,NSI,SMS,SLS,KSS,SD,ZZ,DESUS,SDS,ZARES,NLPB,LDS,SNS
1001,885,102,107,18,1256,51,511,1574,634,32,789,226
1002,790,74,82,8,754,31,289,1114,363,29,507,157
1003,746,103,66,16,823,40,324,1145,443,20,651,183
1004,972,105,53,10,1182,55,365,1515,589,40,941,123
1005,900,94,80,13,964,28,358,1389,486,18,1045,118
1006,1890,98,233,30,893,50,475,2443,466,37,772,161
1007,574,54,48,15,427,25,273,960,268,21,479,105
1008,1520,71,98,16,1002,27,299,1829,467,28,590,124
1009,1540,59,246,16,725,9,263,1724,239,9,412,108
1010,1613,109,333,9,1120,54,474,2093,777,27,736,205
1011,880,55,337,17,769,20,211,1049,275,25,363,123
2001,1423,232,183,34,789,44,425,1471,320,26,508,137
2002,319,57,41,12,1023,40,250,529,470,36,481,93
2003,244,52,35,8,915,30,235,506,361,19,413,64
2004,397,68,49,16,1419,32,336,588,596,27,652,76
2005,721,108,113,28,1443,44,411,979,553,47,834,158
2006,750,143,135,39,1306,88,601,1166,582,57,960,214
2007,495,78,102,14,619,21,354,885,203,28,354,123
2008,849,89,124,17,1409,49,307,1429,419,46,608,164
2009,1522,135,191,24,1785,58,454,1841,456,41,610,192
2010,1038,119,112,23,2373,92,386,1429,697,45,801,189
2011,2078,114,122,27,1135,55,349,1891,345,26,369,128
3001,2017,134,292,36,1271,50,316,2116,563,33,723,212
3002,1154,88,99,14,1079,44,311,1602,694,28,540,144
3003,1225,94,167,21,1026,46,338,1987,576,27,579,168
3004,689,65,41,15,969,35,206,1262,671,20,575,115
3005,660,78,46,10,1340,32,283,1260,856,22,669,113
3006,1509,116,81,9,1170,44,248,1997,706,34,587,151
3007,938,111,54,18,1848,57,239,1379,1230,30,889,134
3008,524,86,20,19,1331,37,258,871,723,36,665,125
3009,619,80,44,10,1678,53,277,1073,941,32,713,144
3010,776,89,42,21,1234,43,266,1356,716,29,679,143
3011,1416,107,92,21,1104,51,360,1725,811,37,743,156
4001,438,67,88,96,1179,19,290,596,292,21,472,99
4002,1099,34,141,16,433,22,174,1405,201,24,243,98
4003,1913,72,240,15,1099,54,318,3893,580,39,685,177
4004,726,59,357,11,655,29,477,1365,382,29,480,118
4005,1160,128,132,19,1209,34,388,1595,657,27,719,197
4006,436,93,36,30,962,29,306,616,537,15,510,116
4007,828,83,49,13,1460,28,362,1198,712,31,719,115
4008,1272,135,96,20,1831,42,382,1705,1041,41,949,187
4009,788,133,51,37,1877,56,343,1368,1091,31,958,163
4010,1816,94,281,18,1091,60,356,1668,648,30,681,250
4011,1103,90,85,16,1112,57,409,1445,811,35,749,201
5001,625,120,171,11,467,29,233,1260,283,10,406,105
5002,949,144,203,17,957,39,636,2070,703,22,640,250
5003,627,98,102,16,1248,49,510,1486,704,26,733,167
5004,549,66,107,3,607,31,574,1513,520,18,593,166
5005,833,93,216,11,765,27,475,1630,480,17,596,147
5006,718,53,324,13,428,21,305,1522,260,11,263,75
5007,456,59,68,12,1100,14,407,1107,774,10,388,78
5008,607,55,115,10,848,21,448,1815,547,12,372,118
5009,615,66,143,14,1003,19,399,1271,548,11,495,164
5010,812,80,159,38,1120,30,466,1627,630,25,661,223
5011,578,90,200,26,732,33,501,1515,406,18,573,206
6001,1197,127,306,22,1132,43,659,1286,398,33,760,476
6002,1768,84,187,23,668,30,434,2062,419,20,569,182
6003,1388,100,93,10,1235,45,608,1693,924,22,925,207
6004,1634,76,143,10,460,28,332,942,337,24,397,120
6005,585,128,142,7,703,38,372,1363,488,15,580,121
6006,913,86,358,16,764,39,388,1438,479,20,650,128
6007,697,76,252,26,500,9,250,1010,301,8,404,97
6008,710,96,114,15,902,34,344,1012,272,19,426,155
6009,132,33,46,6,538,17,273,311,259,10,561,76
6010,292,59,53,17,870,31,364,723,416,20,1096,208
6011,830,193,173,18,912,52,418,921,776,43,1423,213
7001,921,131,359,23,620,32,517,1884,397,27,525,171
7002,594,98,2148,11,992,29,599,1852,481,14,501,187
7003,740,91,342,10,576,35,348,1535,468,29,446,152
7004,324,62,92,4,484,21,353,775,229,7,487,116
7005,450,102,209,8,856,36,412,1291,568,10,502,153
7006,527,138,226,12,777,31,575,1602,524,17,730,300
7007,370,74,535,9,527,28,351,1327,330,8,387,161
7008,438,90,69,6,979,52,339,963,665,13,451,103
7009,356,91,86,6,850,22,494,964,491,11,417,163
7010,306,99,95,12,993,30,471,1117,562,22,513,144
7011,260,74,73,15,764,16,485,898,464,12,397,120
8001,899,194,253,25,494,29,265,1235,263,17,545,63
8002,822,98,171,4,437,27,407,1086,375,13,354,110
8003,532,135,339,14,617,40,679,1064,291,14,645,111
8004,730,125,589,37,1257,32,448,1758,439,21,952,214
8005,950,84,363,16,1695,25,327,1681,429,10,766,169
8006,698,215,203,17,672,40,351,1066,294,8,434,105
8007,482,291,241,14,309,8,228,1172,171,8,307,52
8008,417,372,102,10,439,26,364,1470,284,11,289,72
8009,713,112,410,6,396,47,258,2415,218,9,391,106
8010,439,83,93,3,782,102,326,1526,439,15,548,107
8011,741,111,449,13,366,44,345,1605,199,14,415,132
