OKRAJ,NSI,SMS,SLS,KSS,SD,ZZ,DESUS,SDS,ZARES,NLPB,LDS,SNS
1001,0.1431,0.0165,0.0173,0.0029,0.2031,0.0082,0.0826,0.2545,0.1025,0.0052,0.1276,0.0365
1002,0.1882,0.0176,0.0195,0.0019,0.1796,0.0074,0.0688,0.2654,0.0865,0.0069,0.1208,0.0374
1003,0.1636,0.0226,0.0145,0.0035,0.1805,0.0088,0.0711,0.2511,0.0971,0.0044,0.1428,0.0401
1004,0.1634,0.0176,0.0089,0.0017,0.1987,0.0092,0.0613,0.2546,0.099,0.0067,0.1582,0.0207
1005,0.1638,0.0171,0.0146,0.0024,0.1755,0.0051,0.0652,0.2529,0.0885,0.0033,0.1902,0.0215
1006,0.2504,0.013,0.0309,0.004,0.1183,0.0066,0.0629,0.3237,0.0617,0.0049,0.1023,0.0213
1007,0.1767,0.0166,0.0148,0.0046,0.1314,0.0077,0.084,0.2955,0.0825,0.0065,0.1474,0.0323
1008,0.2504,0.0117,0.0161,0.0026,0.165,0.0044,0.0493,0.3013,0.0769,0.0046,0.0972,0.0204
1009,0.2879,0.011,0.046,0.003,0.1355,0.0017,0.0492,0.3222,0.0447,0.0017,0.077,0.0202
1010,0.2136,0.0144,0.0441,0.0012,0.1483,0.0072,0.0628,0.2772,0.1029,0.0036,0.0975,0.0272
1011,0.2134,0.0133,0.0817,0.0041,0.1865,0.0048,0.0512,0.2544,0.0667,0.0061,0.088,0.0298
2001,0.2545,0.0415,0.0327,0.0061,0.1411,0.0079,0.076,0.2631,0.0572,0.0046,0.0908,0.0245
2002,0.0952,0.017,0.0122,0.0036,0.3053,0.0119,0.0746,0.1579,0.1403,0.0107,0.1435,0.0278
2003,0.0847,0.018,0.0121,0.0028,0.3175,0.0104,0.0815,0.1756,0.1253,0.0066,0.1433,0.0222
2004,0.0933,0.016,0.0115,0.0038,0.3334,0.0075,0.0789,0.1382,0.14,0.0063,0.1532,0.0179
2005,0.1326,0.0199,0.0208,0.0051,0.2653,0.0081,0.0756,0.18,0.1017,0.0086,0.1533,0.029
2006,0.1242,0.0237,0.0223,0.0065,0.2162,0.0146,0.0995,0.193,0.0963,0.0094,0.1589,0.0354
2007,0.1511,0.0238,0.0311,0.0043,0.1889,0.0064,0.1081,0.2701,0.062,0.0085,0.1081,0.0375
2008,0.1541,0.0162,0.0225,0.0031,0.2557,0.0089,0.0557,0.2593,0.076,0.0083,0.1103,0.0298
2009,0.2082,0.0185,0.0261,0.0033,0.2442,0.0079,0.0621,0.2519,0.0624,0.0056,0.0835,0.0263
2010,0.1421,0.0163,0.0153,0.0031,0.3249,0.0126,0.0528,0.1956,0.0954,0.0062,0.1097,0.0259
2011,0.313,0.0172,0.0184,0.0041,0.171,0.0083,0.0526,0.2848,0.052,0.0039,0.0556,0.0193
3001,0.2598,0.0173,0.0376,0.0046,0.1637,0.0064,0.0407,0.2726,0.0725,0.0043,0.0931,0.0273
3002,0.1991,0.0152,0.0171,0.0024,0.1861,0.0076,0.0536,0.2763,0.1197,0.0048,0.0932,0.0248
3003,0.1959,0.015,0.0267,0.0034,0.1641,0.0074,0.054,0.3177,0.0921,0.0043,0.0926,0.0269
3004,0.1478,0.0139,0.0088,0.0032,0.2078,0.0075,0.0442,0.2706,0.1439,0.0043,0.1233,0.0247
3005,0.1229,0.0145,0.0086,0.0019,0.2496,0.006,0.0527,0.2347,0.1594,0.0041,0.1246,0.021
3006,0.2268,0.0174,0.0122,0.0014,0.1759,0.0066,0.0373,0.3002,0.1061,0.0051,0.0882,0.0227
3007,0.1354,0.016,0.0078,0.0026,0.2668,0.0082,0.0345,0.1991,0.1776,0.0043,0.1283,0.0193
3008,0.1116,0.0183,0.0043,0.004,0.2835,0.0079,0.055,0.1855,0.154,0.0077,0.1416,0.0266
