OKRAJ,Akacije,DSD,DeSUS,LGV,GZS,LDS,LZJ - PS,NPS,NSi,SD,SDS,SNS,SLS,SMS Zeleni,SSN,SEM-Si,Humana,TRS,ZARES,Zeleni
1001,0,104,1031,1367,109,192,6426,0,588,1581,3278,227,638,75,25,35,0,244,292,97
1002,0,54,726,816,229,155,2543,0,565,910,2214,207,471,63,11,30,0,140,48,51
1003,0,42,703,967,97,112,3124,0,624,1040,2529,224,533,129,20,24,0,179,94,84
1004,0,47,885,1167,32,147,5520,0,634,1200,3069,169,477,75,13,30,0,335,89,61
1005,0,70,918,1209,40,123,5459,0,689,1196,3187,179,622,72,29,34,0,260,105,60
1006,0,56,1043,1509,37,135,3868,0,1181,1066,5366,242,1696,84,23,34,0,236,47,68
1007,0,33,702,795,20,204,2508,0,400,588,2285,101,435,23,9,12,0,120,29,31
1008,0,67,645,1128,54,100,3988,0,978,893,3876,180,816,152,20,40,0,163,160,48
1009,0,45,515,1095,32,87,1878,0,1100,704,3644,141,1209,71,18,26,0,122,31,25
1010,0,80,1533,1444,21,170,6129,0,1982,1441,4690,297,974,87,20,34,0,228,115,55
1011,0,62,425,776,24,63,1790,0,560,1467,2479,134,889,78,12,23,0,146,30,36
2001,27,65,717,909,111,140,1944,0,735,1158,3538,202,702,294,27,13,14,147,39,51
2002,12,54,805,703,17,99,2892,0,222,1574,1458,111,146,78,28,11,27,163,45,53
2003,15,39,661,621,25,101,2832,0,141,1408,1154,98,227,69,14,9,8,150,99,43
2004,36,65,912,856,35,126,4178,0,273,1833,1666,115,220,83,18,18,21,252,162,67
2005,36,121,1328,1216,29,161,4355,0,515,2286,2783,293,458,89,27,57,10,224,121,73
2006,28,141,1155,1101,38,184,3644,0,353,2863,2480,203,481,124,48,17,18,212,89,77
2007,10,59,788,732,15,71,1826,0,229,842,1926,123,377,37,19,8,11,73,127,29
2008,13,52,607,931,27,121,3644,0,512,1102,3146,106,588,51,20,7,9,183,69,36
2009,14,121,984,1396,84,222,3308,0,1104,3650,4335,214,638,146,37,27,14,185,58,59
2010,16,80,758,1175,72,140,4327,0,645,4684,3002,224,386,104,15,30,21,307,177,54
2011,5,418,783,1326,17,90,2272,0,1583,1838,4285,101,741,166,27,16,5,120,32,31
3001,0,72,700,1618,55,194,4895,100,1419,1381,4872,196,944,163,0,44,0,0,234,0
3002,0,61,699,1196,71,99,5066,78,794,1323,3262,203,759,134,0,49,0,0,44,0
3003,0,64,673,1266,55,120,5872,79,860,1204,4708,221,1145,138,0,32,0,0,58,0
3004,0,45,359,902,24,87,5967,33,485,962,2338,130,384,116,0,47,0,0,64,0
3005,0,62,467,931,34,85,5482,55,446,1265,2245,103,302,112,0,51,0,0,107,0
3006,0,67,587,1335,62,119,4790,64,1134,1257,4327,164,688,183,0,43,0,0,63,0
3007,0,59,421,923,54,155,6807,48,712,1756,2348,112,330,213,0,54,0,0,175,0
3008,0,52,430,690,41,150,5200,58,323,1150,1653,118,209,120,0,40,0,0,69,0
3009,0,58,517,876,31,104,6241,40,431,1514,2104,102,345,152,0,48,0,0,98,0
3010,0,79,515,955,56,99,5682,53,573,1240,2463,120,391,146,0,44,0,0,50,0
3011,0,94,876,1346,108,118,5582,74,954,1298,3768,210,818,154,0,46,0,0,76,0
4001,0,50,664,742,15,86,3007,13,264,1852,1452,181,325,108,10,0,0,94,212,30
4002,0,34,310,615,10,58,1522,16,827,462,2823,111,519,31,13,0,0,51,153,24
4003,0,119,889,1354,21,213,4880,31,1104,1253,9696,271,1107,86,20,0,0,244,85,71
4004,0,67,690,748,84,122,3346,24,477,869,3126,226,1278,60,15,0,0,89,172,30
4005,0,76,798,1127,31,124,6679,27,803,1176,3648,187,762,63,17,0,0,267,61,58
4006,0,33,600,611,19,117,6522,22,350,903,1459,118,213,57,10,0,0,295,39,42
4007,0,56,618,819,37,164,7210,31,506,1219,2437,140,380,62,21,0,0,285,82,60
4008,0,65,746,1241,37,182,7496,21,885,1664,3363,184,575,111,33,0,0,395,57,59
4009,0,62,629,985,33,179,7515,28,473,1700,2449,146,325,91,11,0,0,395,109,67
4010,0,67,819,1872,30,206,4938,17,1454,1281,3802,235,994,82,20,0,0,196,44,88
4011,0,45,900,1378,35,155,6108,21,960,1371,3163,176,619,87,14,0,0,268,47,64
5001,0,56,896,1028,14,279,1555,0,380,738,3890,170,766,56,0,12,0,322,33,77
5002,0,167,1635,1743,57,407,4119,0,705,1668,5956,371,1250,86,0,40,0,268,74,88
5003,0,121,1284,1364,51,166,4429,0,356,1852,3555,219,705,107,0,55,0,286,73,90
5004,0,66,1658,1007,18,172,2549,0,319,1040,3783,222,593,66,0,11,0,123,45,65
5005,0,74,1265,1207,33,184,2759,0,764,1066,3595,206,737,67,0,20,0,145,32,54
5006,0,40,511,1021,8,71,1572,0,483,572,2998,126,1540,49,0,14,0,95,24,28
5007,0,48,899,720,15,113,3414,0,306,1604,2499,137,1275,32,0,14,0,161,28,28
5008,0,55,940,605,12,183,2475,0,389,1073,3412,191,2459,32,0,11,0,122,34,25
5009,0,55,815,1206,14,84,3378,0,507,1181,3152,410,752,55,0,17,0,233,116,38
5010,0,120,1125,1469,21,151,3375,0,533,1782,4261,343,572,68,0,19,0,175,62,62
5011,0,116,1274,1519,35,171,2433,0,426,1086,4188,575,940,79,0,20,0,197,98,45
6001,0,107,1132,649,20,559,4850,0,1066,1299,2877,225,1259,173,0,18,0,139,95,37
6002,0,165,1033,1251,118,307,2907,0,985,1150,6639,533,1357,145,0,28,0,134,73,68
6003,0,113,1482,1476,40,246,5648,0,899,1420,4348,482,739,78,0,27,0,189,182,76
6004,0,417,499,813,36,178,2105,0,749,734,3604,202,795,166,0,13,0,110,16,34
6005,0,115,855,711,22,243,3553,0,366,930,4440,227,463,118,0,7,0,172,56,58
6006,0,92,891,951,71,222,3253,0,518,919,3704,400,2895,113,0,14,0,155,63,36
6007,0,112,894,540,15,103,1912,0,251,552,3079,182,1269,51,0,6,0,137,17,32
6008,0,51,797,883,23,145,1427,0,590,2138,2585,134,611,66,0,11,0,121,35,32
6009,0,77,581,369,7,489,2190,0,53,609,674,103,127,79,0,8,0,52,11,8
6010,0,160,826,571,22,229,3282,0,219,1198,1821,685,194,31,0,11,0,140,102,24
6011,0,95,884,925,41,282,3051,0,412,1054,1687,166,449,111,0,21,0,200,102,30
7001,0,73,1505,1214,19,176,3046,23,1085,1124,5368,318,1196,62,20,29,18,140,56,51
7002,0,78,1735,1750,17,127,3121,27,551,1972,6241,281,1741,123,21,35,24,173,163,76
7003,0,66,1017,987,10,111,2317,17,639,960,4167,248,1119,55,27,13,0,93,141,54
7004,0,62,920,899,11,394,1386,0,189,852,2357,188,489,113,9,11,8,86,18,27
7005,0,93,981,1274,11,143,2520,17,288,1534,3235,297,831,152,7,16,21,214,38,57
7006,0,82,1244,1447,103,125,2697,15,349,1495,3983,384,940,116,16,18,9,147,100,65
7007,0,75,871,1099,30,85,2004,68,301,1037,3750,263,1612,108,10,15,10,138,25,54
7008,0,58,695,876,9,109,2591,0,215,1341,2059,153,300,78,13,26,11,265,47,65
7009,0,46,1019,951,26,92,2707,0,242,1241,2531,263,359,93,28,22,15,183,54,57
7010,0,62,1059,1186,10,103,2969,0,193,1461,2767,269,404,123,12,13,9,194,42,64
7011,0,63,971,860,8,75,2330,0,194,1154,2423,208,337,62,8,13,12,154,37,48
8001,0,96,659,660,15,348,2113,0,1033,786,2647,159,2633,92,12,25,0,77,81,28
8002,0,70,864,856,10,256,1755,0,709,533,2888,532,495,53,11,6,0,76,28,45
8003,0,42,1801,713,26,289,1434,0,421,832,1991,168,1412,127,9,7,0,91,77,36
8004,0,64,889,859,28,520,2239,0,448,2505,2969,386,2902,117,23,38,0,115,150,43
8005,0,60,821,1379,57,583,3545,0,857,2118,3286,311,2563,91,8,15,0,187,81,40
8006,0,59,971,1030,22,272,1702,0,580,1543,2653,298,983,156,13,18,0,118,308,47
8007,0,53,554,1092,22,458,1139,0,369,736,3017,219,1111,410,11,11,0,119,20,42
8008,0,55,738,781,16,214,1408,0,300,830,3818,254,528,637,19,10,0,64,32,71
8009,0,49,936,1354,22,345,1748,0,788,776,4252,313,2376,74,13,16,0,102,35,46
8010,0,60,866,1091,30,239,2477,0,399,1231,3449,209,614,65,13,0,0,212,83,116
8011,0,68,1030,1127,36,341,1527,0,485,802,4225,211,1483,178,9,0,0,85,74,51
