OKRAJ,Akacije,DSD,DeSUS,LGV,GZS,LDS,LZJ - PS,NPS,NSi,SD,SDS,SNS,SLS,SMS Zeleni,SSN,SEM-Si,Humana,TRS,ZARES,Zeleni
1001,0.0,0.0064,0.0632,0.0838,0.0067,0.0118,0.394,0.0,0.0361,0.0969,0.201,0.0139,0.0391,0.0046,0.0015,0.0021,0.0,0.015,0.0179,0.0059
1002,0.0,0.0058,0.0786,0.0884,0.0248,0.0168,0.2754,0.0,0.0612,0.0986,0.2398,0.0224,0.051,0.0068,0.0012,0.0032,0.0,0.0152,0.0052,0.0055
1003,0.0,0.004,0.0668,0.0919,0.0092,0.0106,0.2968,0.0,0.0593,0.0988,0.2403,0.0213,0.0506,0.0123,0.0019,0.0023,0.0,0.017,0.0089,0.008
1004,0.0,0.0034,0.0634,0.0837,0.0023,0.0105,0.3957,0.0,0.0454,0.086,0.22,0.0121,0.0342,0.0054,0.0009,0.0022,0.0,0.024,0.0064,0.0044
1005,0.0,0.0049,0.0644,0.0848,0.0028,0.0086,0.383,0.0,0.0483,0.0839,0.2236,0.0126,0.0436,0.0051,0.002,0.0024,0.0,0.0182,0.0074,0.0042
1006,0.0,0.0034,0.0625,0.0904,0.0022,0.0081,0.2317,0.0,0.0708,0.0639,0.3215,0.0145,0.1016,0.005,0.0014,0.002,0.0,0.0141,0.0028,0.0041
1007,0.0,0.004,0.0846,0.0958,0.0024,0.0246,0.3024,0.0,0.0482,0.0709,0.2755,0.0122,0.0524,0.0028,0.0011,0.0014,0.0,0.0145,0.0035,0.0037
1008,0.0,0.005,0.0485,0.0848,0.0041,0.0075,0.2997,0.0,0.0735,0.0671,0.2913,0.0135,0.0613,0.0114,0.0015,0.003,0.0,0.0122,0.012,0.0036
1009,0.0,0.0042,0.0479,0.1019,0.003,0.0081,0.1748,0.0,0.1024,0.0655,0.3392,0.0131,0.1125,0.0066,0.0017,0.0024,0.0,0.0114,0.0029,0.0023
1010,0.0,0.0041,0.0794,0.0748,0.0011,0.0088,0.3176,0.0,0.1027,0.0747,0.243,0.0154,0.0505,0.0045,0.001,0.0018,0.0,0.0118,0.006,0.0028
1011,0.0,0.0069,0.0473,0.0863,0.0027,0.007,0.199,0.0,0.0623,0.1631,0.2756,0.0149,0.0988,0.0087,0.0013,0.0026,0.0,0.0162,0.0033,0.004
2001,0.0025,0.006,0.0662,0.0839,0.0102,0.0129,0.1795,0.0,0.0678,0.1069,0.3266,0.0186,0.0648,0.0271,0.0025,0.0012,0.0013,0.0136,0.0036,0.0047
2002,0.0014,0.0064,0.0947,0.0827,0.002,0.0116,0.3403,0.0,0.0261,0.1852,0.1716,0.0131,0.0172,0.0092,0.0033,0.0013,0.0032,0.0192,0.0053,0.0062
