OKRAJ,Št. neveljavnih glasovnic,KONKRETNO,DL,ZDRUŽENA LEVICA,SNS,VERJAMEM!,NSi in SLS,SD,SDS,SLOVENSKI NAROD,PIRATSKA STRANKA,SOLIDARNOST,ZELENI,DeSUS,SANJSKA SLUŽBA,PS,ZARES
1001,324,425,121,270,168,490,619,395,1269,13,101,90,49,345,212,596,419
1002,153,194,49,201,163,451,613,238,949,11,97,45,33,211,119,307,66
1003,204,230,61,215,143,542,503,271,899,16,109,82,36,205,184,375,88
1004,222,510,43,279,129,540,656,334,1248,16,155,89,34,319,176,398,62
1005,180,580,58,311,137,518,723,300,1154,13,141,58,48,285,188,320,66
1006,270,394,61,296,218,465,1659,251,1938,20,194,82,33,285,239,272,63
1007,146,174,42,126,87,265,420,165,768,12,71,34,16,249,99,164,50
1008,206,225,56,333,121,434,1096,240,1583,14,104,65,35,314,155,296,45
1009,190,178,38,196,92,216,1363,199,1512,17,86,45,17,162,117,147,34
1010,293,288,75,362,224,724,1368,363,1749,24,183,123,39,598,311,450,49
1011,218,125,29,193,98,248,830,306,854,8,72,49,25,161,272,196,15
2001,309,225,47,240,193,337,1243,316,1352,17,107,57,45,363,187,280,30
2002,167,129,31,206,98,319,219,520,488,6,70,53,30,328,93,265,33
2003,130,153,24,192,83,273,186,416,406,10,69,69,19,325,88,285,21
2004,201,244,43,292,114,475,317,534,518,11,107,113,48,423,124,350,26
2005,246,333,77,336,159,446,572,657,728,14,127,126,44,464,167,371,23
2006,389,285,76,397,291,558,563,753,1120,20,160,170,54,507,269,409,52
2007,185,137,37,126,150,159,361,266,705,8,73,32,40,249,112,161,9
2008,194,178,38,223,80,387,682,311,1084,12,116,75,20,301,173,357,19
2009,303,298,49,284,184,407,1239,780,1703,22,101,92,38,478,247,312,38
2010,252,265,75,426,136,853,770,944,1414,11,153,183,40,511,223,467,41
2011,275,162,50,227,132,323,1602,412,1774,15,182,68,48,269,280,212,24
3001,247,241,65,333,186,493,1575,514,1927,36,138,96,40,322,252,479,32
3002,213,192,52,336,165,636,866,375,1345,19,179,97,45,413,280,359,29
3003,233,185,50,269,191,612,1071,391,1786,21,168,126,34,382,352,408,29
3004,133,233,55,397,155,639,587,298,1049,11,143,109,33,265,205,524,42
3005,143,237,62,402,138,827,497,375,1154,14,177,132,48,351,237,563,62
3006,146,199,55,408,136,625,997,327,1774,19,189,125,39,278,273,420,37
3007,140,286,64,670,157,972,670,540,1215,16,297,251,61,277,267,819,86
3008,121,218,40,422,102,655,327,371,794,5,169,104,31,276,180,601,49
3009,176,258,57,456,138,895,496,518,1031,15,191,178,58,389,165,749,66
3010,163,207,44,352,126,670,589,398,1213,13,181,127,37,317,239,549,48
3011,219,272,67,350,206,643,1079,427,1468,17,199,92,45,392,286,457,53
4001,144,157,33,132,188,309,305,496,519,24,39,81,19,226,81,221,25
4002,147,99,24,108,113,167,895,154,1066,175,44,32,29,124,60,116,29
4003,257,231,60,306,212,598,1785,453,2943,16,168,113,54,399,304,381,60
4004,220,193,43,183,161,385,824,228,1090,10,103,43,22,275,148,244,16
4005,247,246,54,391,208,646,904,381,1485,18,166,116,40,410,200,464,64
4006,159,250,42,299,122,481,329,339,510,7,122,94,17,324,143,458,42
4007,218,209,64,403,130,686,543,411,1064,15,148,112,45,385,216,566,49
4008,245,338,59,510,172,1019,929,551,1531,31,240,197,53,466,301,697,58
4009,227,327,71,552,140,988,563,549,1131,16,278,191,50,351,270,792,67
4010,298,259,64,269,233,547,1496,344,1362,24,157,101,40,420,234,314,46
4011,267,241,86,345,174,709,930,361,1276,27,205,96,44,472,301,475,51
5001,152,147,38,126,154,321,674,214,979,7,51,35,33,236,98,113,16
5002,301,248,60,261,288,618,918,388,1671,29,146,75,64,586,227,332,59
5003,245,286,63,308,184,738,413,447,1162,18,130,111,37,590,177,376,57
5004,153,181,98,156,177,428,436,282,1184,11,74,47,34,562,128,211,25
5005,170,169,86,194,184,520,692,272,1177,14,108,63,27,451,148,193,21
5006,149,71,34,91,124,290,941,135,981,11,48,20,25,224,69,122,30
5007,162,192,52,190,95,463,409,497,835,13,85,45,19,390,158,225,27
5008,245,159,35,135,150,287,518,409,1129,20,78,58,30,362,154,162,42
5009,173,178,37,149,169,433,516,421,938,18,96,42,20,510,120,201,153
5010,200,300,79,193,219,555,606,465,1131,27,70,48,36,604,167,278,43
5011,172,254,65,161,255,349,464,301,1082,14,73,34,30,552,119,190,54
6001,263,187,178,380,317,326,1169,531,997,10,70,56,28,538,88,322,37
6002,314,187,48,205,315,343,1554,397,1652,16,69,57,42,347,129,182,27
6003,269,309,68,378,271,613,1052,486,1485,13,132,189,45,605,187,460,73
6004,171,139,28,226,166,250,1207,258,813,11,52,34,17,271,77,159,18
6005,162,185,59,271,235,352,769,306,1003,18,78,42,38,411,105,272,38
6006,209,192,35,247,266,429,1969,286,1090,13,92,47,36,364,120,228,31
6007,160,132,32,175,152,214,925,237,866,7,39,30,17,311,75,141,20
6008,193,129,33,176,129,391,712,389,740,13,99,35,29,321,85,146,24
6009,126,266,28,118,80,246,116,222,213,4,36,16,13,265,35,149,15
6010,224,206,45,239,134,408,214,390,625,14,76,39,19,458,128,242,42
6011,168,265,73,198,146,416,591,267,599,4,81,50,23,341,127,191,32
7001,262,215,90,219,271,320,1104,321,1304,14,99,39,33,521,93,191,32
7002,203,189,62,183,326,472,1231,516,1622,19,125,45,44,549,163,238,32
7003,225,141,35,173,186,387,1029,339,1196,34,71,40,44,388,137,158,28
7004,123,142,34,145,165,260,240,227,645,4,44,34,22,344,118,142,6
