OKRAJ,DeSUS,DL,ED - NPS,ZDRUŽENA LEVICA,LGS,NSi,PIRATSKA STRANKA,PS,SD,SDS,SNS,SLS,SMC,HS,VERJAMEM,ZAAB,ZELENI
1001,1082,48,84,696,0,497,195,563,600,2123,165,382,4240,0,73,600,100
1002,779,97,40,474,0,439,183,118,336,1619,263,243,2661,0,61,368,52
1003,704,69,55,591,0,517,175,189,382,1628,179,162,3210,0,93,446,42
1004,878,69,48,842,0,638,241,412,411,2018,175,153,3958,0,88,791,82
1005,936,85,48,779,0,693,188,422,402,1991,218,317,3827,0,99,746,46
1006,1002,65,57,715,0,1212,271,280,337,3748,294,615,4028,0,113,594,103
1007,662,33,56,368,0,293,0,212,199,1375,124,193,2404,0,61,258,59
1008,671,133,47,844,0,782,130,253,336,2862,209,395,3344,0,85,396,53
1009,391,558,0,521,0,728,106,104,243,2639,176,815,2292,0,48,227,36
1010,1706,78,69,892,0,1938,240,452,523,3053,271,340,5128,0,99,553,53
1011,452,72,35,419,0,540,95,78,804,1481,96,525,2449,0,42,228,29
2001,742,34,0,408,0,670,135,148,374,2526,139,550,2718,0,94,455,60
2002,1071,42,27,457,0,207,147,197,741,875,116,92,2342,0,31,397,45
2003,864,28,32,448,0,136,95,264,510,715,113,92,2352,0,58,320,39
2004,1193,36,21,880,0,219,206,421,580,926,104,113,3349,0,72,540,51
2005,1438,65,21,891,0,469,242,361,607,1370,178,247,4716,0,65,655,74
2006,1134,72,23,720,0,410,190,250,1194,1637,240,216,3898,0,93,653,71
2007,693,105,22,214,0,222,0,123,382,1170,83,250,1962,0,27,267,46
2008,698,41,17,490,0,472,162,302,467,2082,104,267,3243,0,38,483,41
2009,1324,78,19,682,0,890,192,202,1467,3069,166,449,3921,0,94,565,66
2010,1237,87,30,1103,0,542,216,386,1276,2310,147,206,4557,0,140,909,86
2011,831,38,21,626,0,1422,200,239,762,3379,156,273,2925,0,154,380,62
3001,843,204,43,758,0,1427,0,324,625,3530,233,519,4531,0,120,653,70
3002,877,73,25,733,0,752,246,381,499,2353,200,289,4176,0,72,423,46
3003,998,57,28,777,0,736,222,552,497,3394,253,572,4741,0,81,498,48
3004,578,54,14,739,0,462,160,695,376,1785,111,136,3570,0,72,497,52
3005,690,62,14,799,0,394,146,451,473,1658,100,127,4171,0,78,502,52
3006,671,76,22,829,0,1031,199,351,428,3140,163,302,4106,0,116,501,51
3007,504,62,18,1421,0,601,224,685,673,1840,82,120,4468,0,76,689,64
3008,621,56,17,779,0,296,188,494,491,1140,102,74,3293,0,78,468,39
3009,783,81,14,855,0,417,163,597,656,1521,102,119,4194,0,90,652,46
3010,646,62,19,762,0,498,208,568,471,1838,125,131,3854,0,72,540,45
3011,868,95,0,711,0,887,225,481,512,2700,235,281,4683,0,122,628,67
4001,739,10,20,275,14,342,0,291,1201,881,179,136,2452,0,56,232,27
4002,397,13,18,212,9,635,58,93,185,1975,121,675,1532,0,25,176,27
4003,1037,74,30,673,48,1153,204,361,501,6116,265,660,5425,0,90,485,73
4004,831,48,20,465,10,356,89,300,317,1936,227,1078,2962,0,68,334,34
4005,955,63,39,793,21,715,316,773,486,2548,214,298,4473,0,86,501,70
4006,779,37,18,755,9,282,119,849,424,920,95,78,3001,0,76,396,38
4007,905,42,17,814,21,420,300,857,511,1676,141,168,3927,0,71,555,44
4008,994,90,28,1059,16,801,220,634,744,2469,169,191,5479,0,89,748,66
4009,897,67,29,1210,21,462,267,828,774,1734,144,123,4752,0,90,701,60
4010,1111,108,33,641,21,1284,241,327,491,2695,311,445,4596,0,86,565,71
4011,1116,84,0,810,26,816,241,438,452,2267,230,216,4957,0,111,551,44
5001,896,30,33,339,0,380,0,89,363,2139,189,492,3088,0,80,250,71
5002,1836,56,41,810,0,684,243,316,528,3161,356,730,4877,0,102,550,85
5003,1571,48,35,740,0,321,215,378,595,1979,197,283,4375,0,98,564,83
5004,1624,32,29,418,0,339,167,205,465,2316,233,234,3082,0,67,441,66
5005,1413,54,34,380,0,733,150,157,608,2086,219,528,3411,0,76,446,50
5006,742,96,25,355,0,492,0,109,231,2043,154,802,2146,0,37,226,36
5007,1186,20,19,480,0,282,131,391,991,1521,136,130,2801,0,65,310,25
5008,1235,30,9,476,0,439,127,290,804,2145,237,333,2522,0,56,327,33
5009,1233,28,13,485,0,414,142,199,1041,1654,184,433,3677,0,48,422,27
5010,1437,64,23,456,0,471,140,282,724,2168,213,270,4278,0,83,401,51
5011,1680,43,36,510,0,435,0,138,669,2123,247,323,3611,0,94,389,49
6001,1316,45,18,375,0,876,0,643,1265,1816,314,672,3131,0,37,317,38
6002,1187,52,46,511,0,1143,0,206,505,3977,400,694,3495,0,95,461,84
6003,1499,56,35,738,0,717,194,369,829,2767,349,383,5033,0,90,791,83
6004,597,37,24,540,0,636,0,111,269,2314,186,600,2947,0,37,245,28
6005,909,50,19,776,0,260,70,251,406,2466,155,329,3565,0,38,385,50
6006,1126,36,22,693,0,409,84,165,406,2490,301,1510,3665,0,96,334,59
6007,843,31,14,370,0,259,60,112,265,1943,132,934,2399,0,31,218,18
6008,878,23,12,311,0,530,124,95,1332,1503,170,428,2067,0,34,299,45
6009,797,75,5,247,0,58,32,272,395,334,71,84,1547,0,24,251,23
6010,1130,29,6,919,0,137,0,330,601,974,85,155,2770,0,36,387,32
6011,936,81,0,416,0,406,0,249,486,1080,141,386,3105,0,47,376,35
7001,1437,138,25,468,7,997,127,170,434,2788,292,544,4259,0,66,305,64
7002,2011,118,25,594,18,637,155,285,686,3328,437,773,4783,0,127,432,86
7003,1001,39,17,415,9,603,87,135,541,2383,348,625,3105,0,66,308,40
7004,958,38,20,439,5,143,60,82,523,1151,183,141,2298,0,138,229,37
