OKRAJ,DeSUS,DL,ED - NPS,ZDRUŽENA LEVICA,LGS,NSi,PIRATSKA STRANKA,PS,SD,SDS,SNS,SLS,SMC,HS,VERJAMEM,ZAAB,ZELENI
1001,0.0945,0.0042,0.0073,0.0608,0.0,0.0434,0.017,0.0492,0.0524,0.1854,0.0144,0.0334,0.3704,0.0,0.0064,0.0524,0.0087
1002,0.1007,0.0125,0.0052,0.0613,0.0,0.0568,0.0237,0.0153,0.0435,0.2094,0.034,0.0314,0.3441,0.0,0.0079,0.0476,0.0067
1003,0.0834,0.0082,0.0065,0.07,0.0,0.0612,0.0207,0.0224,0.0452,0.1928,0.0212,0.0192,0.3802,0.0,0.011,0.0528,0.005
1004,0.0813,0.0064,0.0044,0.0779,0.0,0.0591,0.0223,0.0381,0.038,0.1868,0.0162,0.0142,0.3663,0.0,0.0081,0.0732,0.0076
1005,0.0867,0.0079,0.0044,0.0721,0.0,0.0642,0.0174,0.0391,0.0372,0.1844,0.0202,0.0294,0.3545,0.0,0.0092,0.0691,0.0043
1006,0.0746,0.0048,0.0042,0.0532,0.0,0.0902,0.0202,0.0208,0.0251,0.279,0.0219,0.0458,0.2998,0.0,0.0084,0.0442,0.0077
1007,0.1051,0.0052,0.0089,0.0584,0.0,0.0465,0.0,0.0337,0.0316,0.2184,0.0197,0.0306,0.3818,0.0,0.0097,0.041,0.0094
1008,0.0637,0.0126,0.0045,0.0801,0.0,0.0742,0.0123,0.024,0.0319,0.2715,0.0198,0.0375,0.3173,0.0,0.0081,0.0376,0.005
1009,0.044,0.0628,0.0,0.0586,0.0,0.0819,0.0119,0.0117,0.0274,0.2971,0.0198,0.0917,0.258,0.0,0.0054,0.0256,0.0041
1010,0.1108,0.0051,0.0045,0.0579,0.0,0.1259,0.0156,0.0294,0.034,0.1983,0.0176,0.0221,0.3331,0.0,0.0064,0.0359,0.0034
1011,0.0615,0.0098,0.0048,0.057,0.0,0.0735,0.0129,0.0106,0.1095,0.2016,0.0131,0.0715,0.3334,0.0,0.0057,0.031,0.0039
2001,0.082,0.0038,0.0,0.0451,0.0,0.074,0.0149,0.0163,0.0413,0.279,0.0154,0.0608,0.3002,0.0,0.0104,0.0503,0.0066
2002,0.1578,0.0062,0.004,0.0673,0.0,0.0305,0.0217,0.029,0.1092,0.1289,0.0171,0.0136,0.3451,0.0,0.0046,0.0585,0.0066
2003,0.1424,0.0046,0.0053,0.0739,0.0,0.0224,0.0157,0.0435,0.0841,0.1179,0.0186,0.0152,0.3877,0.0,0.0096,0.0528,0.0064
2004,0.137,0.0041,0.0024,0.101,0.0,0.0251,0.0236,0.0483,0.0666,0.1063,0.0119,0.013,0.3845,0.0,0.0083,0.062,0.0059
2005,0.1262,0.0057,0.0018,0.0782,0.0,0.0411,0.0212,0.0317,0.0533,0.1202,0.0156,0.0217,0.4137,0.0,0.0057,0.0575,0.0065
2006,0.105,0.0067,0.0021,0.0667,0.0,0.038,0.0176,0.0231,0.1105,0.1516,0.0222,0.02,0.3609,0.0,0.0086,0.0605,0.0066
2007,0.1245,0.0189,0.004,0.0384,0.0,0.0399,0.0,0.0221,0.0686,0.2102,0.0149,0.0449,0.3525,0.0,0.0049,0.048,0.0083
