OKRAJ,ZELENI,DeSUS,DD,GAS,Zsi,GSN,LEVICA,LMŠ,LNBP,NSi,PIRATI,SDS,SLS,SNS,SMC,SD,SOLIDARNOST,STRANKA AB,ZD
1001,68,640,176,31,84,68,1249,1759,138,646,319,2739,134,462,1012,1044,36,855,89
1002,47,347,105,20,34,22,600,1042,62,542,205,1840,130,266,609,595,15,1055,54
1003,66,281,174,19,67,54,871,1305,97,577,306,2046,89,391,750,719,20,642,89
1004,92,486,198,41,91,37,1173,1535,116,757,311,2401,95,356,967,808,15,1137,75
1005,76,448,185,19,92,42,1141,1449,92,828,317,2410,157,416,994,770,19,1274,71
1006,100,401,287,80,100,32,889,2241,135,1443,405,4405,501,546,1010,778,19,757,99
1007,45,394,331,32,35,17,542,1022,67,415,155,1790,86,218,570,466,6,352,47
1008,92,309,147,28,40,41,1479,1357,95,1074,235,3193,247,289,818,634,17,486,79
1009,80,212,104,22,65,39,690,1199,66,1117,184,3252,514,245,530,520,18,300,45
1010,59,419,160,27,42,47,1042,6160,109,2480,278,3140,219,321,1039,656,12,592,73
1011,51,184,106,17,53,73,594,1039,70,671,191,1742,188,217,595,1034,27,243,82
2001,40,410,102,29,45,77,588,795,49,989,183,2739,375,206,699,923,33,400,184
2002,128,458,153,18,33,73,880,621,79,270,188,1002,43,155,698,1026,28,470,82
2003,31,510,182,17,22,143,785,572,82,197,157,930,67,176,727,720,20,348,75
2004,76,538,156,22,44,131,1554,876,93,408,279,1026,55,264,822,1030,54,628,79
2005,137,616,262,85,66,186,1593,1342,157,644,271,1762,86,409,1234,1187,49,719,120
2006,87,640,164,36,56,267,1332,1157,88,512,287,1792,130,489,854,1405,17,1028,85
2007,33,486,85,66,20,62,520,544,47,696,93,1335,68,253,478,626,14,280,22
2008,54,408,122,28,23,41,1041,1158,77,604,228,2481,229,258,925,750,16,490,45
2009,82,814,147,69,95,115,1063,1044,138,1038,281,3372,323,360,929,1887,32,876,99
2010,77,613,228,88,118,234,1717,950,104,734,284,2586,133,268,956,2324,47,1043,83
2011,87,289,105,47,124,83,963,961,191,1787,256,3498,204,244,593,1606,33,356,66
3001,79,527,190,74,64,48,1238,1989,106,1753,347,3872,268,432,1206,1137,48,534,120
3002,96,455,184,48,55,59,1177,1707,100,908,359,2784,102,379,1115,1165,23,594,102
3003,96,528,290,51,50,54,1306,1927,139,1014,371,3940,336,454,1422,1096,56,711,101
3004,0,464,158,27,23,55,1417,1066,100,663,319,1924,67,231,1287,829,19,560,95
3005,54,445,183,28,28,49,1566,1007,105,566,319,1777,50,228,1656,841,18,744,59
3006,65,357,192,42,61,35,1458,1496,138,971,328,3715,180,319,1308,908,15,601,78
3007,71,441,197,59,26,41,2769,910,117,658,446,1943,67,171,1408,1218,45,788,68
3008,49,495,125,30,35,49,1509,881,90,375,257,1250,31,183,1040,799,23,544,69
3009,68,575,199,29,47,39,1754,1108,112,584,312,1759,50,213,1416,1129,23,776,68
3010,57,453,213,25,31,36,1377,1240,103,591,319,2025,53,258,1234,923,19,692,79
3011,117,460,252,54,52,62,1276,2092,132,1202,359,3042,200,438,1391,978,42,793,138
4001,27,442,41,15,33,11,472,1001,46,294,96,1084,89,477,586,989,21,221,19
4002,56,118,56,20,40,26,292,802,62,792,101,2160,446,293,319,387,18,164,36
4003,111,532,242,61,61,64,1107,2082,137,1365,376,7020,576,491,1661,1018,37,642,128
4004,59,461,96,10,67,25,781,1634,40,508,158,2488,750,337,766,676,12,313,47
4005,102,625,157,37,49,92,1359,2083,89,908,322,2955,170,406,1361,936,34,651,72
4006,66,735,110,28,23,62,1291,1052,76,352,215,1088,36,183,806,735,21,511,53
4007,64,695,162,22,41,67,1515,1432,104,602,339,1895,68,272,1183,951,30,718,79
4008,66,609,481,59,31,81,1860,1885,155,958,431,2816,81,295,1738,1252,27,954,95
4009,73,580,200,46,42,54,2352,1301,115,538,454,1921,44,259,1580,1020,28,770,91
4010,178,370,127,34,64,47,813,3522,99,1668,357,3006,224,462,1163,886,23,646,93
4011,129,472,226,40,47,48,1169,3026,121,1013,337,2589,110,387,1452,952,29,767,84
5001,164,635,118,12,85,24,434,961,41,454,97,3075,389,522,976,447,15,270,39
5002,180,751,222,26,110,79,1159,1808,164,973,311,4349,557,869,1484,1101,30,682,92
5003,106,642,160,28,79,45,1343,1273,123,504,320,2596,343,614,1294,1030,33,715,68
5004,72,693,157,24,62,35,592,1178,73,488,232,3029,369,548,870,788,13,668,60
