OKRAJ,DeSUS,DOM,Resni.ca,SVOBODA,LEVICA,L'BP,LMŠ,NAŠA DEŽELA,SNP-DD,NESTRANKARSKA,NSi,Pirati,POVEŽIMO,SDS,SNS,SD,SAB,VESNA,ZLS
1001,129,80,957,5846,694,73,702,280,626,341,779,334,462,3148,194,1058,670,225,121
1002,45,48,290,3191,498,54,404,129,154,294,737,184,418,2196,162,598,356,216,116
1003,54,30,530,4057,577,50,562,175,169,411,809,216,248,2393,140,692,340,207,105
1004,93,46,746,5272,796,31,581,126,183,230,911,277,302,2821,173,940,726,243,111
1005,72,52,855,5149,730,26,566,152,206,243,1069,296,409,2911,177,813,829,186,111
1006,63,41,655,5384,639,45,807,343,258,355,2141,338,1115,4927,282,802,481,288,120
1007,53,11,378,3267,346,41,299,77,158,304,628,165,151,1909,102,359,216,264,67
1008,61,35,422,4410,938,28,478,140,219,256,1130,270,515,3753,175,594,348,238,89
1009,51,30,332,2742,429,26,406,189,153,194,1318,218,600,4202,175,530,228,177,99
1010,96,50,472,6611,791,38,2768,253,275,311,2610,358,395,4069,211,887,490,263,147
1011,45,7,272,3041,354,39,446,128,114,160,848,165,512,2270,142,864,178,134,53
2001,68,15,174,3730,363,18,246,167,95,195,1157,152,718,2838,118,895,167,165,54
2002,68,19,263,3691,527,121,313,81,178,263,315,152,140,1510,62,1097,285,87,60
2003,83,22,234,3682,484,136,242,75,200,195,273,154,193,1234,52,710,321,86,64
2004,86,10,316,5213,861,644,386,70,341,229,324,260,184,1329,80,864,422,100,92
2005,94,28,512,7466,834,782,611,179,432,341,646,285,279,2502,105,1169,647,167,125
2006,119,22,338,6178,891,100,430,375,287,308,669,275,419,2271,169,1029,853,177,94
2007,66,9,149,2443,319,30,315,144,110,59,1095,102,284,1799,121,354,186,91,55
2008,119,25,235,4266,618,97,747,253,179,206,661,208,378,2925,133,738,392,131,56
2009,131,33,287,7484,586,54,352,374,253,290,1250,268,473,4214,161,1117,315,369,131
2010,95,38,264,7936,835,54,292,202,647,287,760,237,373,3095,131,1321,416,187,76
2011,106,24,227,4359,555,53,311,222,204,244,2275,281,363,4163,123,1390,217,173,69
3001,55,26,367,6128,702,95,657,274,240,414,1937,320,774,4580,201,1140,429,212,84
3002,46,23,353,5873,711,67,665,129,281,349,1089,311,403,3341,148,816,439,262,117
3003,60,51,561,7054,751,63,690,138,509,353,1513,391,736,4639,244,997,565,287,136
3004,38,33,226,5199,932,37,508,55,227,229,762,270,286,2142,104,759,442,193,50
3005,49,28,235,5099,1083,36,495,54,233,189,651,251,281,1922,78,992,528,245,64
3006,41,28,299,5811,1030,33,628,172,260,312,1192,353,467,4269,141,893,467,256,78
3007,42,26,198,5461,2123,21,518,66,275,241,747,318,303,2158,92,939,547,278,45
3008,33,31,172,4500,1074,23,416,59,260,173,427,243,167,1302,59,690,369,185,55
3009,53,33,313,5389,1235,45,549,74,321,216,693,251,259,1865,88,1172,542,237,76
3010,37,25,306,5330,905,30,543,83,241,225,717,246,309,2112,95,836,472,215,74
3011,66,33,506,6641,759,67,771,172,285,317,1533,386,420,3657,186,912,570,291,108
4001,67,11,289,3196,307,48,248,57,168,110,550,96,112,1806,226,1242,281,76,52
4002,49,12,175,2299,270,26,291,151,199,177,1845,132,240,3574,155,374,177,107,48
4003,64,31,229,3726,469,24,411,111,184,273,928,189,345,3871,127,516,238,202,71
4004,57,23,173,2560,311,23,348,222,151,160,709,157,285,3921,114,453,151,135,48
4005,60,23,406,6661,886,58,794,126,410,278,1109,352,336,3424,202,1029,480,270,159
4006,64,17,250,4433,808,61,428,50,442,178,358,180,163,1297,87,776,429,160,81
4007,88,31,376,5743,1162,60,595,69,339,242,730,302,261,2124,122,978,489,228,98
4008,72,33,396,7321,1230,53,809,116,285,295,1182,371,337,3055,175,1163,631,321,87
4009,53,31,294,6319,1573,44,728,83,323,246,705,407,281,2072,122,997,542,304,87
4010,81,32,420,6595,597,59,1426,216,333,287,1963,411,429,3972,302,921,465,367,138
4011,81,32,428,6965,778,67,1364,135,319,342,1278,388,311,3004,181,970,552,274,109
5001,122,17,341,3167,242,22,345,239,172,151,799,154,598,4339,362,588,247,123,131
5002,140,35,729,6684,653,68,633,240,428,296,1198,338,867,5865,447,1151,438,293,189
5003,103,28,487,5521,814,55,448,104,413,240,577,262,518,3027,241,982,408,291,174
5004,100,14,374,4143,376,41,333,223,197,192,1399,192,416,3391,285,750,377,194,154
5005,103,25,422,4366,426,43,466,155,213,205,2016,213,295,3287,237,947,324,201,156
5006,57,12,450,2553,238,28,276,159,126,158,1158,112,450,3249,177,349,145,338,60
5007,61,20,438,3203,355,86,257,141,244,160,456,150,211,2801,170,1618,321,182,61
5008,62,20,440,3016,366,62,391,237,211,137,784,177,441,3806,300,1090,378,154,77
5009,100,17,309,5100,465,22,546,288,154,166,707,209,485,3338,179,834,266,112,49
5010,58,22,356,4324,484,35,358,162,185,130,922,180,214,3884,218,2894,302,131,37
5011,96,8,410,4333,367,39,669,596,231,251,1010,182,233,4030,218,1104,227,103,109
6001,258,15,328,4290,519,28,614,99,149,1156,974,121,371,3887,173,1288,243,87,41
6002,193,43,563,4367,438,59,673,318,294,476,1694,210,581,5794,397,936,316,194,86
6003,285,34,452,6804,759,40,659,182,393,489,1718,282,383,3785,254,1117,514,243,103
6004,108,41,469,3241,309,33,560,267,177,186,1055,118,750,3608,192,610,221,120,63
6005,106,10,304,5280,705,58,500,205,249,180,504,159,441,3378,235,725,271,106,112
6006,93,22,378,5828,484,30,469,225,259,271,919,161,750,4024,685,686,255,133,132
6007,137,27,418,3767,289,30,384,239,165,180,516,148,683,3770,226,435,249,86,82
6008,60,16,316,2732,309,53,260,190,145,141,859,171,282,2443,146,1876,210,127,67
6009,111,17,352,4520,462,38,473,150,166,212,671,198,899,3232,142,537,276,198,94
6010,91,10,413,6646,698,22,547,164,280,102,501,176,239,2161,135,1525,455,385,135
6011,49,8,271,4177,376,29,770,250,132,73,480,129,395,1580,98,673,280,375,48
7001,132,25,537,4509,449,52,397,548,262,196,1757,235,2192,4649,299,884,292,142,138
7002,143,19,612,4913,445,63,404,435,212,285,792,250,1218,5871,452,949,301,157,142
7003,66,29,284,3663,320,36,316,344,129,178,752,163,714,4926,652,856,169,121,75
7004,108,11,337,3180,435,38,333,131,94,113,391,151,184,1961,118,635,198,172,68
7005,82,25,599,6226,674,41,494,254,190,245,764,283,864,3692,279,1072,359,214,201
