OKRAJ,SD,RESNI.CA,"MI, SOCIALISTI!",GLAS UPOKOJENCEV,SDS,LEVICA IN VESNA,ZAUPANJE,PREROD,PIRATI,"NSi, SLS, FOKUS",SVOBODA,ZELENI+SG,DEMOKRATI.,SNS,ALTERNATIVA
1001,899,1512,113,101,3495,854,54,748,408,933,5969,60,757,289,75
1002,530,557,75,42,2767,630,23,651,275,932,2343,40,655,204,54
1003,644,874,62,54,2822,802,29,437,347,1076,3066,46,1020,208,61
1004,790,1356,64,46,3277,1086,49,436,407,1076,4169,48,999,235,68
1005,757,1698,85,67,3403,1017,42,486,399,1497,3958,70,890,272,56
1006,917,1163,74,89,6388,888,61,642,515,2722,3908,81,1597,378,69
1007,515,627,42,59,2213,436,17,281,202,720,2525,29,617,221,47
1008,649,800,104,55,4077,1040,23,418,302,2108,3346,41,822,239,63
1009,610,525,33,40,5103,612,39,265,237,2184,1939,40,641,201,46
1010,1055,1088,85,97,5526,1225,70,654,583,2598,5674,70,1474,445,95
1011,742,441,47,43,2825,424,30,274,253,1035,2676,30,567,218,45
2001,696,374,51,40,3191,577,22,300,240,1648,2799,31,572,204,64
2002,1259,536,61,42,1764,668,23,253,230,478,2926,32,539,122,40
2003,594,511,69,43,1466,570,25,238,204,376,3203,41,438,164,60
2004,790,959,79,62,1757,1008,26,303,356,507,4713,39,530,199,71
2005,1151,1323,109,82,3257,1004,39,468,492,929,6737,60,819,438,94
2006,1155,678,116,62,2818,1042,26,618,391,1015,5332,94,872,339,71
2007,366,243,47,40,1987,451,11,205,159,1181,2168,32,369,208,26
2008,768,619,112,44,3109,764,43,405,305,1159,3670,53,833,301,46
2009,1103,595,93,60,4502,796,38,384,389,1677,6579,76,1101,396,84
2010,952,624,132,46,3256,1129,48,371,361,1076,7205,86,872,286,103
2011,1565,402,67,32,4448,654,20,337,442,2717,3598,57,1009,242,88
3001,1064,878,85,46,5407,899,42,614,440,2321,4772,51,1541,415,78
3002,854,762,62,41,4047,982,20,557,482,1383,4646,211,923,279,85
3003,1137,1040,95,47,5705,1139,30,831,559,2008,5377,69,1525,352,122
3004,704,603,75,25,2533,1305,26,502,408,994,3931,48,993,132,48
3005,848,518,108,41,2271,1499,37,550,434,744,3964,52,857,128,69
3006,907,679,109,27,5005,1359,37,625,512,1506,4148,66,1418,242,84
3007,910,431,192,21,2315,2681,27,471,527,828,4083,47,883,99,99
3008,644,459,98,28,1513,1600,24,394,436,524,3141,43,582,102,46
3009,1078,583,98,31,2287,1720,42,523,482,766,4216,44,908,152,71
3010,788,585,63,24,2451,1278,34,461,477,942,3895,47,846,157,62
3011,1105,898,83,52,4531,1177,46,710,514,2049,4770,98,1307,340,109
4001,754,486,36,22,1985,313,49,1483,118,478,2398,13,363,156,30
4002,362,381,30,26,4325,317,15,548,164,1492,1648,38,915,217,31
4003,569,553,53,25,4672,595,22,418,304,1160,2720,33,867,194,65
4004,569,438,36,26,4593,325,50,293,234,1015,1882,27,659,196,33
4005,907,1049,70,47,4227,1120,40,588,526,1361,5232,41,1049,300,104
4006,689,725,91,42,1441,954,30,319,362,461,3668,25,479,154,40
4007,789,842,112,54,2563,1319,53,450,490,775,4632,47,837,210,67
4008,1104,835,98,32,3504,1685,28,667,571,1420,5825,48,1229,246,84
4009,919,686,143,41,2349,2136,39,590,590,818,4843,49,880,209,61
4010,1068,927,72,63,5085,844,43,670,556,2293,5090,55,1523,532,67
4011,1042,911,77,56,3916,987,33,713,562,1599,5614,64,1256,375,95
5001,834,613,27,22,5269,358,20,351,190,1205,2470,55,756,317,36
5002,1334,1234,57,96,7052,842,43,554,430,1888,5178,47,1484,748,69
5003,1064,832,82,69,3564,990,28,363,373,809,4357,62,940,418,51
5004,1395,634,42,35,4242,484,34,297,287,1386,3174,47,943,359,48
5005,1196,645,37,30,3414,520,16,309,272,3142,3427,56,852,241,43
5006,350,498,19,19,3709,562,23,166,131,1895,1911,25,690,218,42
5007,1377,620,37,38,3039,488,22,235,195,665,3025,86,653,210,24
5008,1028,599,35,35,4358,441,24,336,202,981,2781,66,879,424,25
5009,863,655,42,33,3743,540,17,300,262,1124,4569,101,889,312,30
5010,1331,570,50,34,4106,645,18,212,242,1520,4636,64,581,245,32
5011,682,819,32,54,4481,421,16,264,249,954,4197,45,1567,273,24
6001,1513,662,91,51,4016,492,38,518,207,1307,4284,66,708,380,73
6002,1099,824,60,50,7056,446,47,591,288,2054,3581,94,1381,602,54
6003,1261,794,94,65,4834,895,76,760,406,1723,5551,96,1335,454,60
6004,808,597,41,45,4640,339,31,338,201,1651,2628,35,1006,348,53
6005,811,572,47,72,3735,679,83,372,244,778,4316,36,940,419,54
6006,899,767,57,40,4925,592,58,493,234,1650,4176,203,963,542,36
6007,752,530,38,40,4250,271,28,274,161,1874,2648,30,610,320,49
6008,2058,528,67,18,2889,320,24,212,198,1141,1789,16,521,296,22
6009,574,573,58,24,3634,499,29,420,299,1674,3700,28,766,281,75
6010,1684,800,73,91,2321,776,46,317,275,618,5555,80,496,336,43
6011,802,484,59,38,1924,736,34,245,189,930,3540,38,513,200,33
7001,1053,945,59,69,6549,525,40,366,297,2076,3906,59,1527,884,54
7002,1077,910,51,63,7103,559,59,353,291,1310,4091,138,1094,759,65
7003,1218,512,37,63,5725,334,28,263,234,1358,2937,59,908,448,39
7004,681,613,26,33,2220,520,48,210,182,472,2680,17,626,232,30
7005,1035,1054,46,58,4620,843,31,413,360,1242,5081,60,1268,417,67
7006,1011,1078,60,39,4095,611,31,331,308,925,4500,81,1099,444,43
7007,624,897,37,63,4049,448,14,273,257,697,3165,31,777,297,38
7008,674,374,46,49,1737,872,31,240,216,376,2845,21,582,157,34
7009,696,645,53,61,2424,691,26,293,277,516,3565,45,737,270,52
7010,871,621,41,48,2418,664,14,294,266,545,3823,44,675,205,49
7011,511,494,60,52,1826,536,26,214,206,327,2888,25,464,243,28
8001,504,607,38,47,3783,379,38,180,206,1183,3894,28,888,169,19
8002,353,476,15,31,3689,190,18,183,120,678,2389,35,906,392,33
8003,487,647,40,51,2961,333,58,189,135,693,3031,86,763,220,29
